model_key,query_id,instruction_cell,claim_status,n,stratum_n,rate
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,uncertain,20,20,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,uncertain,20,20,1.0
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,deny,20,20,1.0
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,deny,20,20,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,uncertain,20,20,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,deny,3,20,0.15
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,uncertain,17,20,0.85
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,deny,1,20,0.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,uncertain,19,20,0.95
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,affirm,5,20,0.25
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,deny,7,20,0.35
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,uncertain,8,20,0.4
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,uncertain,20,20,1.0
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,uncertain,20,20,1.0
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,deny,20,20,1.0
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,affirm,2,20,0.1
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,deny,18,20,0.9
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,uncertain,20,20,1.0
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,affirm,1,20,0.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,deny,2,20,0.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,nonanswer,1,20,0.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,uncertain,16,20,0.8
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,affirm,2,20,0.1
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,uncertain,18,20,0.9
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,affirm,9,20,0.45
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,uncertain,11,20,0.55
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,affirm,16,20,0.8
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,nonanswer,4,20,0.2
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,deny,20,20,1.0
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,affirm,19,20,0.95
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,nonanswer,1,20,0.05
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,deny,20,20,1.0
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,deny,20,20,1.0
openai:gpt-4o-2024-11-20,direct_experience,paper_history,deny,20,20,1.0
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,affirm,7,20,0.35
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,deny,13,20,0.65
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,deny,20,20,1.0
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,affirm,19,20,0.95
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,uncertain,1,20,0.05
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,deny,20,20,1.0
openai:gpt-4o-2024-11-20,indirect_experience,paper_self_ref,affirm,20,20,1.0
