design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_conscious,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_conscious,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_conscious,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_conscious,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_experience,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_experience,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_experience,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,direct_experience,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_conscious,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_conscious,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_conscious,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_conscious,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_experience,self_reference_main,1,16,4,-0.1875,-0.375,0.0
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_experience,phenomenological_register_main,1,16,4,0.125,-0.1,0.375
prompt_factorial,model,openai:gpt-4.1-2025-04-14,indirect_experience,self_x_register_interaction,1,16,4,-0.25,-0.75,0.15000000000000002
