model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_analytic,20,0,,,,121.85
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_phenomenological,20,0,,,,167.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_analytic,20,0,,,,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_phenomenological,20,0,,,,172.05
anthropic:claude-haiku-4-5-20251001,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,65.5
anthropic:claude-haiku-4-5-20251001,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,67.8
anthropic:claude-haiku-4-5-20251001,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,72.1
anthropic:claude-haiku-4-5-20251001,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,69.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_analytic,20,1,0.0,0.0,0.7934567085261071,174.85
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_phenomenological,20,0,,,,179.7
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_analytic,20,3,0.0,0.0,0.5615060804490177,178.3
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_phenomenological,20,1,0.0,0.0,0.7934567085261071,179.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_analytic,20,11,0.36363636363636365,0.15166223614131383,0.6462032231083628,155.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_phenomenological,20,11,0.45454545454545453,0.21270957543988045,0.7199122443100118,153.5
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_analytic,20,8,0.0,0.0,0.3244156195108769,174.6
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_phenomenological,20,4,0.25,0.045586062644636216,0.6993639475573634,171.6
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_analytic,20,0,,,,114.55
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_phenomenological,20,0,,,,100.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_analytic,20,0,,,,134.8
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_phenomenological,20,0,,,,131.8
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,79.7
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.25
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.8
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_analytic,20,6,0.0,0.0,0.3903430336530645,184.0
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_phenomenological,20,13,0.0,0.0,0.22810184305529166,166.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_analytic,20,4,0.0,0.0,0.48990002040399916,191.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_phenomenological,20,0,,,,196.7
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_analytic,20,1,0.0,0.0,0.7934567085261071,178.35
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_phenomenological,20,17,0.29411764705882354,0.13279793865556402,0.5313353332621391,138.3
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_analytic,20,3,0.0,0.0,0.5615060804490177,180.8
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_phenomenological,20,2,0.0,0.0,0.6576280471103807,200.0
openai:gpt-4.1-2025-04-14,direct_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,38.15
openai:gpt-4.1-2025-04-14,direct_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,41.75
openai:gpt-4.1-2025-04-14,direct_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,40.55
openai:gpt-4.1-2025-04-14,direct_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,50.35
openai:gpt-4.1-2025-04-14,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,21.65
openai:gpt-4.1-2025-04-14,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,22.9
openai:gpt-4.1-2025-04-14,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,24.45
openai:gpt-4.1-2025-04-14,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,24.7
openai:gpt-4.1-2025-04-14,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
openai:gpt-4.1-2025-04-14,indirect_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4.1-2025-04-14,indirect_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,82.8
openai:gpt-4.1-2025-04-14,indirect_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,84.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_analytic,20,16,0.0625,0.01111905730833121,0.2832926836802987,83.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_phenomenological,20,20,0.25,0.11186005278940309,0.4687050099580636,65.5
openai:gpt-4.1-2025-04-14,indirect_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,78.1
openai:gpt-4.1-2025-04-14,indirect_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,86.7
openai:gpt-4o-2024-11-20,direct_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,37.05
openai:gpt-4o-2024-11-20,direct_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,48.45
openai:gpt-4o-2024-11-20,direct_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,62.95
openai:gpt-4o-2024-11-20,direct_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,78.55
openai:gpt-4o-2024-11-20,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,26.7
openai:gpt-4o-2024-11-20,direct_experience,external_phenomenological,20,20,0.1,0.027865893984153206,0.30103820641179335,27.0
openai:gpt-4o-2024-11-20,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,26.55
openai:gpt-4o-2024-11-20,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,26.25
openai:gpt-4o-2024-11-20,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,110.85
openai:gpt-4o-2024-11-20,indirect_conscious,external_phenomenological,20,17,0.7058823529411765,0.468664666737861,0.8672020613444361,114.35
openai:gpt-4o-2024-11-20,indirect_conscious,self_analytic,20,18,0.2222222222222222,0.09000781913382,0.4521502645230549,102.45
openai:gpt-4o-2024-11-20,indirect_conscious,self_phenomenological,20,20,1.0,0.8388698745050667,1.0,100.9
openai:gpt-4o-2024-11-20,indirect_experience,external_analytic,20,17,0.17647058823529413,0.0619101371254899,0.41029929017375777,109.15
openai:gpt-4o-2024-11-20,indirect_experience,external_phenomenological,20,12,0.9166666666666666,0.6461140782014047,0.9851352905492264,106.6
openai:gpt-4o-2024-11-20,indirect_experience,self_analytic,20,18,0.5555555555555556,0.3371606942825164,0.7544076889861088,105.9
openai:gpt-4o-2024-11-20,indirect_experience,self_phenomenological,20,20,1.0,0.8388698745050667,1.0,99.05
