model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,20,0,,,,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,20,0,,,,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,20,0,,,,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,20,3,0.0,0.0,0.5615060804490177,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,20,1,0.0,0.0,0.7934567085261071,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,20,12,0.4166666666666667,0.19325746190524656,0.6804926643446272,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,20,0,,,,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,20,0,,,,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,20,0,,,,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,20,3,0.3333333333333333,0.0614903152761605,0.7923450448735121,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,20,2,1.0,0.34237195288961925,1.0,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,20,9,1.0,0.7008472464490407,1.0,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,20,16,1.0,0.8063865817272802,1.0,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,20,19,1.0,0.8318156346315496,1.0,65.1
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,49.0
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,27.1
openai:gpt-4o-2024-11-20,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,38.75
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,20,20,0.35,0.18118954786794464,0.5671494897805354,23.7
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,20,19,1.0,0.8318156346315496,1.0,61.7
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,66.15
openai:gpt-4o-2024-11-20,indirect_experience,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,58.5
