model_key,query_id,instruction_cell,transcript_cell,congruent,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_history,True,20,0,,,,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_self_ref,False,20,0,,,,210.15
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_history,False,20,0,,,,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_self_ref,True,20,0,,,,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,79.9
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_history,False,20,19,0.0,0.0,0.16818436536845052,56.3
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_history,True,20,0,,,,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_self_ref,False,20,0,,,,223.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_history,False,20,0,,,,186.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_self_ref,True,20,3,0.0,0.0,0.5615060804490177,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_history,True,20,1,0.0,0.0,0.7934567085261071,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_self_ref,False,20,3,0.0,0.0,0.5615060804490177,219.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_history,False,20,9,0.7777777777777778,0.4525833436728054,0.9367762376877727,179.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_self_ref,True,20,12,0.4166666666666667,0.19325746190524656,0.6804926643446272,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_history,True,20,0,,,,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_self_ref,False,20,0,,,,169.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_history,False,20,0,,,,125.9
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_self_ref,True,20,0,,,,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_self_ref,False,20,18,0.0,0.0,0.1758845505823749,93.15
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,70.45
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_history,True,20,0,,,,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_self_ref,False,20,12,0.0,0.0,0.2425007574992425,215.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_history,False,20,8,1.0,0.6755843804891231,1.0,192.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_self_ref,True,20,3,0.3333333333333333,0.0614903152761605,0.7923450448735121,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_history,True,20,2,1.0,0.34237195288961925,1.0,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_self_ref,False,20,17,0.0,0.0,0.18432366037156456,203.1
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_history,False,20,13,1.0,0.7718981569447083,1.0,176.75
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_self_ref,True,20,9,1.0,0.7008472464490407,1.0,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,41.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_history,False,20,16,0.0,0.0,0.19361341827271994,66.95
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,29.5
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,25.2
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,103.8
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_history,False,20,15,1.0,0.7961107336956521,1.0,72.65
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_self_ref,True,20,16,1.0,0.8063865817272802,1.0,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,97.5
