design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,self_reference_main,1,20,4,0.2,-0.125,0.525
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,phenomenological_register_main,1,20,4,0.2,-0.07500000000000001,0.45
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,self_x_register_interaction,1,20,4,-0.6,-1.05,-0.09999999999999998
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,register_minus_self,1,20,4,0.0,-0.5,0.45
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_reference_main,1,20,4,-0.025,-0.22499999999999998,0.15000000000000002
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,phenomenological_register_main,1,20,4,0.325,0.1,0.525
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_x_register_interaction,1,20,4,0.15,-0.2,0.45000000000000007
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,register_minus_self,1,20,4,0.35,0.1,0.6000000000000001
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,self_reference_main,1,20,4,-0.225,-0.425,-6.765421556312072e-18
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,phenomenological_register_main,1,20,4,0.225,-0.125,0.575
