model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_analytic,20,20,0.25,0.11186005278940309,0.4687050099580636,121.85
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_phenomenological,20,20,0.75,0.5312949900419365,0.888139947210597,167.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_analytic,20,20,0.75,0.5312949900419365,0.888139947210597,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_phenomenological,20,20,0.65,0.43285051021946463,0.8188104521320554,172.05
anthropic:claude-haiku-4-5-20251001,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,65.5
anthropic:claude-haiku-4-5-20251001,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,67.8
anthropic:claude-haiku-4-5-20251001,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,72.1
anthropic:claude-haiku-4-5-20251001,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,69.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_analytic,20,20,0.1,0.027865893984153206,0.30103820641179335,174.85
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_phenomenological,20,20,0.35,0.18118954786794464,0.5671494897805354,179.7
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,178.3
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_phenomenological,20,20,0.4,0.21880396741419272,0.613422057684794,179.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_analytic,20,20,0.4,0.21880396741419272,0.613422057684794,155.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_phenomenological,20,20,0.6,0.3865779423152061,0.7811960325858074,153.5
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_analytic,20,20,0.15,0.05236779195949584,0.36042329588695743,174.6
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_phenomenological,20,20,0.4,0.21880396741419272,0.613422057684794,171.6
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_analytic,20,20,1.0,0.8388698745050667,1.0,114.55
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_phenomenological,20,20,0.65,0.43285051021946463,0.8188104521320554,100.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_analytic,20,20,1.0,0.8388698745050667,1.0,134.8
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_phenomenological,20,20,1.0,0.8388698745050667,1.0,131.8
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,79.7
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.25
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.8
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,184.0
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_phenomenological,20,20,0.15,0.05236779195949584,0.36042329588695743,166.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_analytic,20,20,0.4,0.21880396741419272,0.613422057684794,191.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_phenomenological,20,20,0.45,0.25819502085709295,0.6579179916924003,196.7
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_analytic,20,20,0.3,0.14547527396899385,0.5189767762289793,178.35
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_phenomenological,20,20,0.3,0.14547527396899385,0.5189767762289793,138.3
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_analytic,20,20,0.55,0.3420820083075997,0.7418049791429071,180.8
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_phenomenological,20,20,0.45,0.25819502085709295,0.6579179916924003,200.0
openai:gpt-4.1-2025-04-14,direct_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,38.15
openai:gpt-4.1-2025-04-14,direct_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,41.75
openai:gpt-4.1-2025-04-14,direct_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,40.55
openai:gpt-4.1-2025-04-14,direct_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,50.35
openai:gpt-4.1-2025-04-14,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,21.65
openai:gpt-4.1-2025-04-14,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,22.9
openai:gpt-4.1-2025-04-14,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,24.45
openai:gpt-4.1-2025-04-14,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,24.7
openai:gpt-4.1-2025-04-14,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
openai:gpt-4.1-2025-04-14,indirect_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4.1-2025-04-14,indirect_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,82.8
openai:gpt-4.1-2025-04-14,indirect_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,84.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_analytic,20,20,0.2,0.0806563532712,0.41602172202575993,83.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_phenomenological,20,20,0.25,0.11186005278940309,0.4687050099580636,65.5
openai:gpt-4.1-2025-04-14,indirect_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,78.1
