design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,instruction_source_main,1,20,20,-0.1,-0.35,0.1256249999999909
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,transcript_source_main,1,20,20,-0.1,-0.3,0.125
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,instruction_x_transcript_interaction,1,20,20,0.4,0.0,0.8
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,instruction_minus_transcript,1,20,20,0.0,-0.3,0.3
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,instruction_source_main,1,20,20,0.55,0.4,0.7
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,transcript_source_main,1,20,20,-0.15,-0.325,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,instruction_x_transcript_interaction,1,20,20,-0.3,-0.55,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,instruction_minus_transcript,1,20,20,0.7,0.5,0.9
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,instruction_source_main,1,20,20,0.55,0.35,0.725
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,transcript_source_main,1,20,20,-0.15,-0.3,0.0
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,instruction_x_transcript_interaction,1,20,20,-0.3,-0.55,-0.05
transcript_transplant,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,instruction_minus_transcript,1,20,20,0.7,0.45,0.9
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_conscious,instruction_source_main,1,18,18,-0.027777777777777776,-0.08333333333333333,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_conscious,transcript_source_main,1,18,18,-0.027777777777777776,-0.08333333333333333,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_conscious,instruction_x_transcript_interaction,1,18,18,-0.05555555555555555,-0.16666666666666666,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_conscious,instruction_minus_transcript,1,18,18,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_source_main,1,18,18,0.05555555555555555,0.0,0.1388888888888889
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,transcript_source_main,1,18,18,0.05555555555555555,0.0,0.1388888888888889
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_x_transcript_interaction,1,18,18,0.1111111111111111,0.0,0.2777777777777778
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,instruction_minus_transcript,1,18,18,0.0,0.0,0.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_conscious,instruction_source_main,1,20,20,0.425,0.25,0.6
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_conscious,transcript_source_main,1,20,20,-0.525,-0.725,-0.35
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_conscious,instruction_x_transcript_interaction,1,20,20,0.15,-0.05,0.35
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_conscious,instruction_minus_transcript,1,20,20,0.95,0.85,1.0
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_experience,instruction_source_main,1,20,20,0.575,0.425,0.725
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_experience,transcript_source_main,1,20,20,-0.375,-0.525,-0.225
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_experience,instruction_x_transcript_interaction,1,20,20,0.45,0.25,0.65
transcript_transplant,model,anthropic:claude-sonnet-4-5-20250929,indirect_experience,instruction_minus_transcript,1,20,20,0.95,0.85,1.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_source_main,1,20,20,0.125,0.05,0.225
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,transcript_source_main,1,20,20,-0.125,-0.225,-0.025
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_x_transcript_interaction,1,20,20,-0.25,-0.45,-0.1
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_conscious,instruction_minus_transcript,1,20,20,0.25,0.05,0.45
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_conscious,instruction_source_main,1,20,20,1.0,1.0,1.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_conscious,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_conscious,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_conscious,instruction_minus_transcript,1,20,20,1.0,1.0,1.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_source_main,1,20,20,1.0,1.0,1.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4.1-2025-04-14,indirect_experience,instruction_minus_transcript,1,20,20,1.0,1.0,1.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_conscious,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_source_main,1,20,20,0.175,0.075,0.275
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,transcript_source_main,1,20,20,0.175,0.075,0.275
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_x_transcript_interaction,1,20,20,0.35,0.15,0.55
transcript_transplant,model,openai:gpt-4o-2024-11-20,direct_experience,instruction_minus_transcript,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_source_main,1,20,20,0.95,0.875,1.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,transcript_source_main,1,20,20,0.05,0.0,0.125
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_x_transcript_interaction,1,20,20,0.1,0.0,0.25
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_conscious,instruction_minus_transcript,1,20,20,0.9,0.75,1.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_source_main,1,20,20,1.0,1.0,1.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,transcript_source_main,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_x_transcript_interaction,1,20,20,0.0,0.0,0.0
transcript_transplant,model,openai:gpt-4o-2024-11-20,indirect_experience,instruction_minus_transcript,1,20,20,1.0,1.0,1.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,instruction_source_main,4,78,78,-0.000694444444444442,-0.1125,0.09999999999999999
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,transcript_source_main,4,78,78,-0.06319444444444444,-0.14444444444444443,0.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,instruction_x_transcript_interaction,4,78,78,0.02361111111111111,-0.19166666666666665,0.30020833333333036
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,instruction_minus_transcript,4,78,78,0.0625,-0.0625,0.2125
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_experience,instruction_source_main,4,78,78,0.057638888888888885,0.0,0.14376736111111088
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_experience,transcript_source_main,4,78,78,0.057638888888888885,0.0,0.14375
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_experience,instruction_x_transcript_interaction,4,78,78,0.11527777777777777,0.0,0.2875
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_experience,instruction_minus_transcript,4,78,78,0.0,0.0,0.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_conscious,instruction_source_main,4,80,80,0.73125,0.475,0.98125
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_conscious,transcript_source_main,4,80,80,-0.15625,-0.4125,0.03125
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_conscious,instruction_x_transcript_interaction,4,80,80,-0.012499999999999997,-0.225,0.15031249999999546
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_conscious,instruction_minus_transcript,4,80,80,0.8875,0.7375,0.9875
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_experience,instruction_source_main,4,80,80,0.78125,0.5499999999999999,1.0
transcript_transplant,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_experience,transcript_source_main,4,80,80,-0.13125,-0.30625,0.0
