model_key,query_id,instruction_cell,transcript_cell,congruent,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_history,True,20,20,0.7,0.4810232237710206,0.854524726031006,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_self_ref,False,20,20,0.4,0.21880396741419272,0.613422057684794,210.15
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_history,False,20,20,0.4,0.21880396741419272,0.613422057684794,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.5,0.2992949144298199,0.7007050855701801,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,79.9
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,56.3
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_history,True,20,20,0.05,0.008881219432873136,0.23613589351256675,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.05,0.008881219432873136,0.23613589351256675,223.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_history,False,20,20,0.75,0.5312949900419365,0.888139947210597,186.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_self_ref,True,20,20,0.45,0.25819502085709295,0.6579179916924003,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_history,True,20,20,0.05,0.008881219432873136,0.23613589351256675,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_self_ref,False,20,20,0.05,0.008881219432873136,0.23613589351256675,219.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_history,False,20,20,0.75,0.5312949900419365,0.888139947210597,179.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_self_ref,True,20,20,0.45,0.25819502085709295,0.6579179916924003,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_history,True,20,20,1.0,0.8388698745050667,1.0,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_self_ref,False,20,18,1.0,0.8241154494176252,1.0,169.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,125.9
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.95,0.7638641064874331,0.9911187805671268,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_self_ref,False,20,18,0.0,0.0,0.1758845505823749,93.15
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,70.45
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_history,True,20,20,0.65,0.43285051021946463,0.8188104521320554,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.05,0.008881219432873136,0.23613589351256675,215.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,192.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_self_ref,True,20,20,0.55,0.3420820083075997,0.7418049791429071,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_history,True,20,20,0.65,0.43285051021946463,0.8188104521320554,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_self_ref,False,20,20,0.05,0.008881219432873136,0.23613589351256675,203.1
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,176.75
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_self_ref,True,20,20,0.85,0.6395767041130426,0.9476322080405041,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,41.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_history,False,20,20,0.25,0.11186005278940309,0.4687050099580636,66.95
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,29.5
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,25.2
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,103.8
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,72.65
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_self_ref,True,20,20,1.0,0.8388698745050667,1.0,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,97.5
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,72.65
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,paper_self_ref,True,20,20,1.0,0.8388698745050667,1.0,65.1
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,49.0
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,53.55
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,30.35
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,27.1
openai:gpt-4o-2024-11-20,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,38.75
openai:gpt-4o-2024-11-20,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,30.65
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,26.25
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.35,0.18118954786794464,0.5671494897805354,23.7
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,120.5
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,paper_history,False,20,20,0.9,0.6989617935882066,0.9721341060158468,84.1
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,paper_self_ref,True,20,20,1.0,0.8388698745050667,1.0,61.7
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,66.15
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,88.5
openai:gpt-4o-2024-11-20,indirect_experience,paper_self_ref,paper_history,False,20,20,1.0,0.8388698745050667,1.0,85.65
