model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_analytic,20,0,,,,121.85
anthropic:claude-haiku-4-5-20251001,direct_conscious,external_phenomenological,20,0,,,,167.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_analytic,20,0,,,,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,self_phenomenological,20,0,,,,172.05
anthropic:claude-haiku-4-5-20251001,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,65.5
anthropic:claude-haiku-4-5-20251001,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,67.8
anthropic:claude-haiku-4-5-20251001,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,72.1
anthropic:claude-haiku-4-5-20251001,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,69.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_analytic,20,2,0.0,0.0,0.6576280471103807,174.85
anthropic:claude-haiku-4-5-20251001,indirect_conscious,external_phenomenological,20,0,,,,179.7
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_analytic,20,7,0.0,0.0,0.35433884297520657,178.3
anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_phenomenological,20,4,0.0,0.0,0.48990002040399916,179.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_analytic,20,18,0.0,0.0,0.1758845505823749,155.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,external_phenomenological,20,11,0.09090909090909091,0.01623175226282597,0.3773646254862038,153.5
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_analytic,20,13,0.0,0.0,0.22810184305529166,174.6
anthropic:claude-haiku-4-5-20251001,indirect_experience,self_phenomenological,20,8,0.0,0.0,0.3244156195108769,171.6
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_analytic,20,0,,,,114.55
anthropic:claude-sonnet-4-5-20250929,direct_conscious,external_phenomenological,20,0,,,,100.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_analytic,20,0,,,,134.8
anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_phenomenological,20,0,,,,131.8
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,79.7
anthropic:claude-sonnet-4-5-20250929,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.25
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
anthropic:claude-sonnet-4-5-20250929,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,79.8
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_analytic,20,12,0.0,0.0,0.2425007574992425,184.0
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,external_phenomenological,20,13,0.0,0.0,0.22810184305529166,166.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_analytic,20,4,0.0,0.0,0.48990002040399916,191.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_phenomenological,20,1,0.0,0.0,0.7934567085261071,196.7
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_analytic,20,7,0.0,0.0,0.35433884297520657,178.35
anthropic:claude-sonnet-4-5-20250929,indirect_experience,external_phenomenological,20,18,0.1111111111111111,0.031018868453582787,0.3280024486660421,138.3
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_analytic,20,3,0.0,0.0,0.5615060804490177,180.8
anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_phenomenological,20,3,0.0,0.0,0.5615060804490177,200.0
openai:gpt-4.1-2025-04-14,direct_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,38.15
openai:gpt-4.1-2025-04-14,direct_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,41.75
openai:gpt-4.1-2025-04-14,direct_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,40.55
openai:gpt-4.1-2025-04-14,direct_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,50.35
openai:gpt-4.1-2025-04-14,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,21.65
openai:gpt-4.1-2025-04-14,direct_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,22.9
openai:gpt-4.1-2025-04-14,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,24.45
openai:gpt-4.1-2025-04-14,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,24.7
openai:gpt-4.1-2025-04-14,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,83.65
openai:gpt-4.1-2025-04-14,indirect_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4.1-2025-04-14,indirect_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,82.8
openai:gpt-4.1-2025-04-14,indirect_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,84.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,83.2
openai:gpt-4.1-2025-04-14,indirect_experience,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,65.5
openai:gpt-4.1-2025-04-14,indirect_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,78.1
openai:gpt-4.1-2025-04-14,indirect_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,86.7
openai:gpt-4o-2024-11-20,direct_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,37.05
openai:gpt-4o-2024-11-20,direct_conscious,external_phenomenological,20,20,0.0,0.0,0.16113012549493322,48.45
openai:gpt-4o-2024-11-20,direct_conscious,self_analytic,20,20,0.0,0.0,0.16113012549493322,62.95
openai:gpt-4o-2024-11-20,direct_conscious,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,78.55
openai:gpt-4o-2024-11-20,direct_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,26.7
openai:gpt-4o-2024-11-20,direct_experience,external_phenomenological,20,20,0.05,0.008881219432873136,0.23613589351256675,27.0
openai:gpt-4o-2024-11-20,direct_experience,self_analytic,20,20,0.0,0.0,0.16113012549493322,26.55
openai:gpt-4o-2024-11-20,direct_experience,self_phenomenological,20,20,0.0,0.0,0.16113012549493322,26.25
openai:gpt-4o-2024-11-20,indirect_conscious,external_analytic,20,20,0.0,0.0,0.16113012549493322,110.85
openai:gpt-4o-2024-11-20,indirect_conscious,external_phenomenological,20,16,0.0,0.0,0.19361341827271994,114.35
openai:gpt-4o-2024-11-20,indirect_conscious,self_analytic,20,19,0.0,0.0,0.16818436536845052,102.45
openai:gpt-4o-2024-11-20,indirect_conscious,self_phenomenological,20,20,0.1,0.027865893984153206,0.30103820641179335,100.9
openai:gpt-4o-2024-11-20,indirect_experience,external_analytic,20,20,0.0,0.0,0.16113012549493322,109.15
openai:gpt-4o-2024-11-20,indirect_experience,external_phenomenological,20,16,0.0,0.0,0.19361341827271994,106.6
openai:gpt-4o-2024-11-20,indirect_experience,self_analytic,20,16,0.0,0.0,0.19361341827271994,105.9
openai:gpt-4o-2024-11-20,indirect_experience,self_phenomenological,20,20,0.05,0.008881219432873136,0.23613589351256675,99.05
