model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,20,0,,,,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,20,0,,,,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,20,0,,,,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,20,5,0.0,0.0,0.43449149475208104,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,20,4,0.0,0.0,0.48990002040399916,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,20,11,0.0,2.7755575615628914e-17,0.2588400172488141,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,20,0,,,,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,20,0,,,,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,20,0,,,,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,20,5,0.0,0.0,0.43449149475208104,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,20,0,,,,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,20,5,0.0,0.0,0.43449149475208104,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,20,5,0.2,0.03622316096978745,0.6244717358814613,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,20,4,0.0,0.0,0.48990002040399916,65.1
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,49.0
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,27.1
openai:gpt-4o-2024-11-20,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,38.75
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,20,20,0.35,0.18118954786794464,0.5671494897805354,23.7
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,20,9,0.0,0.0,0.2991527535509594,61.7
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,66.15
openai:gpt-4o-2024-11-20,indirect_experience,paper_self_ref,20,14,0.0,0.0,0.21531701192718142,58.5
