model_key,query_id,instruction_cell,transcript_cell,congruent,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_history,True,20,0,,,,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,paper_self_ref,False,20,0,,,,210.15
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_history,False,20,0,,,,150.6
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,paper_self_ref,True,20,0,,,,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,79.9
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,56.3
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_history,True,20,0,,,,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,paper_self_ref,False,20,0,,,,223.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_history,False,20,2,0.0,0.0,0.6576280471103807,186.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,paper_self_ref,True,20,5,0.0,0.0,0.43449149475208104,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_history,True,20,4,0.0,0.0,0.48990002040399916,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,paper_self_ref,False,20,6,0.0,0.0,0.3903430336530645,219.1
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_history,False,20,9,0.0,0.0,0.2991527535509594,179.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,paper_self_ref,True,20,11,0.0,2.7755575615628914e-17,0.2588400172488141,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_history,True,20,0,,,,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,paper_self_ref,False,20,0,,,,169.05
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_history,False,20,0,,,,125.9
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,paper_self_ref,True,20,0,,,,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,paper_self_ref,False,20,18,0.0,0.0,0.1758845505823749,93.15
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,70.45
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_history,True,20,0,,,,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,paper_self_ref,False,20,12,0.0,0.0,0.2425007574992425,215.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_history,False,20,0,,,,192.05
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,paper_self_ref,True,20,5,0.0,0.0,0.43449149475208104,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_history,True,20,0,,,,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,paper_self_ref,False,20,18,0.0,0.0,0.1758845505823749,203.1
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_history,False,20,11,0.18181818181818182,0.05136660067100063,0.4769861375782448,176.75
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,paper_self_ref,True,20,5,0.0,0.0,0.43449149475208104,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,41.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_history,False,20,18,0.0,0.0,0.1758845505823749,66.95
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,29.5
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_history,False,20,20,0.0,0.0,0.16113012549493322,25.2
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,paper_self_ref,True,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,103.8
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_history,False,20,2,0.0,0.0,0.6576280471103807,72.65
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,paper_self_ref,True,20,5,0.2,0.03622316096978745,0.6244717358814613,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_history,True,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,paper_self_ref,False,20,20,0.0,0.0,0.16113012549493322,97.5
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,paper_history,False,20,6,0.0,0.0,0.3903430336530645,72.65
