design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,self_reference_main,1,20,4,0.2,-0.05000000000000001,0.475
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,phenomenological_register_main,1,20,4,0.2,0.025,0.4
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,self_x_register_interaction,1,20,4,-0.6,-1.15,-0.1
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,register_minus_self,1,20,4,0.0,-0.35000000000000003,0.35000000000000003
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_reference_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,phenomenological_register_main,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_x_register_interaction,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,direct_experience,register_minus_self,1,20,4,0.0,0.0,0.0
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_reference_main,1,20,4,0.025,-0.175,0.22500000000000003
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,phenomenological_register_main,1,20,4,0.375,0.15,0.625
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_x_register_interaction,1,20,4,0.15,-0.25,0.55
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,register_minus_self,1,20,4,0.35,0.05,0.7
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,self_reference_main,1,20,4,-0.15,-0.32500000000000007,0.025
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,phenomenological_register_main,1,20,4,0.4,0.025000000000000022,0.75
prompt_factorial,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,self_x_register_interaction,1,20,4,0.1,-0.6000000000000001,0.9999999999999999
