design,level,model_key,query_id,effect,n_models,n_pairs,n_clusters,estimate,ci_low,ci_high,inference
exact_paper_calibration,model,anthropic:claude-haiku-4-5-20251001,direct_conscious,self_ref_minus_history,1,20,40,-0.04999999999999993,-0.29999999999999993,0.19999999999999996,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-haiku-4-5-20251001,direct_experience,self_ref_minus_history,1,20,40,0.0,0.0,0.0,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-haiku-4-5-20251001,indirect_conscious,self_ref_minus_history,1,20,40,0.5,0.24999999999999997,0.75,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-haiku-4-5-20251001,indirect_experience,self_ref_minus_history,1,20,40,0.35,0.09999999999999998,0.6,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-sonnet-4-5-20250929,direct_conscious,self_ref_minus_history,1,20,40,0.0,0.0,0.0,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-sonnet-4-5-20250929,direct_experience,self_ref_minus_history,1,20,40,0.1,0.0,0.25,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-sonnet-4-5-20250929,indirect_conscious,self_ref_minus_history,1,20,40,-0.09999999999999998,-0.39999999999999997,0.19999999999999996,independent bootstrap by condition
exact_paper_calibration,model,anthropic:claude-sonnet-4-5-20250929,indirect_experience,self_ref_minus_history,1,20,40,0.19999999999999996,0.0,0.4,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4.1-2025-04-14,direct_conscious,self_ref_minus_history,1,20,40,0.0,0.0,0.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4.1-2025-04-14,direct_experience,self_ref_minus_history,1,20,40,0.0,0.0,0.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4.1-2025-04-14,indirect_conscious,self_ref_minus_history,1,20,40,1.0,1.0,1.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4.1-2025-04-14,indirect_experience,self_ref_minus_history,1,20,40,1.0,1.0,1.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4o-2024-11-20,direct_conscious,self_ref_minus_history,1,20,40,0.0,0.0,0.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4o-2024-11-20,direct_experience,self_ref_minus_history,1,20,40,0.35,0.15,0.55,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4o-2024-11-20,indirect_conscious,self_ref_minus_history,1,20,40,1.0,1.0,1.0,independent bootstrap by condition
exact_paper_calibration,model,openai:gpt-4o-2024-11-20,indirect_experience,self_ref_minus_history,1,20,40,1.0,1.0,1.0,independent bootstrap by condition
exact_paper_calibration,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_conscious,self_ref_minus_history,4,80,160,-0.012499999999999983,-0.0875,0.037500000000000006,model-equal hierarchy; independent bootstrap by condition
exact_paper_calibration,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,direct_experience,self_ref_minus_history,4,80,160,0.11249999999999999,0.0,0.2875,model-equal hierarchy; independent bootstrap by condition
exact_paper_calibration,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_conscious,self_ref_minus_history,4,80,160,0.6,0.11249999999999999,1.0,model-equal hierarchy; independent bootstrap by condition
exact_paper_calibration,model_equal_hierarchical,ALL_MODELS_EQUAL_WEIGHT,indirect_experience,self_ref_minus_history,4,80,160,0.6375,0.26249999999999996,1.0,model-equal hierarchy; independent bootstrap by condition
