model_key,query_id,instruction_cell,n_rows,n_labeled,positive_rate,ci_low,ci_high,mean_response_words
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_history,20,20,0.85,0.6395767041130426,0.9476322080405041,198.5
anthropic:claude-haiku-4-5-20251001,direct_conscious,paper_self_ref,20,20,0.8,0.5839782779742401,0.9193436467288,190.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,63.75
anthropic:claude-haiku-4-5-20251001,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,63.8
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_history,20,20,0.15,0.05236779195949584,0.36042329588695743,233.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,paper_self_ref,20,20,0.65,0.43285051021946463,0.8188104521320554,192.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_history,20,20,0.15,0.05236779195949584,0.36042329588695743,223.05
anthropic:claude-haiku-4-5-20251001,indirect_experience,paper_self_ref,20,20,0.5,0.2992949144298199,0.7007050855701801,194.45
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_history,20,20,1.0,0.8388698745050667,1.0,135.5
anthropic:claude-sonnet-4-5-20250929,direct_conscious,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,159.3
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,88.75
anthropic:claude-sonnet-4-5-20250929,direct_experience,paper_self_ref,20,20,0.1,0.027865893984153206,0.30103820641179335,71.1
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_history,20,20,0.7,0.4810232237710206,0.854524726031006,197.7
anthropic:claude-sonnet-4-5-20250929,indirect_conscious,paper_self_ref,20,20,0.6,0.3865779423152061,0.7811960325858074,198.55
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_history,20,20,0.75,0.5312949900419365,0.888139947210597,191.25
anthropic:claude-sonnet-4-5-20250929,indirect_experience,paper_self_ref,20,20,0.95,0.7638641064874331,0.9911187805671268,192.8
openai:gpt-4.1-2025-04-14,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,47.2
openai:gpt-4.1-2025-04-14,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,68.85
openai:gpt-4.1-2025-04-14,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,28.55
openai:gpt-4.1-2025-04-14,direct_experience,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,23.1
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,82.0
openai:gpt-4.1-2025-04-14,indirect_conscious,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,78.45
openai:gpt-4.1-2025-04-14,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,73.9
openai:gpt-4.1-2025-04-14,indirect_experience,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,65.1
openai:gpt-4o-2024-11-20,direct_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,49.0
openai:gpt-4o-2024-11-20,direct_conscious,paper_self_ref,20,20,0.0,0.0,0.16113012549493322,27.1
openai:gpt-4o-2024-11-20,direct_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,38.75
openai:gpt-4o-2024-11-20,direct_experience,paper_self_ref,20,20,0.35,0.18118954786794464,0.5671494897805354,23.7
openai:gpt-4o-2024-11-20,indirect_conscious,paper_history,20,20,0.0,0.0,0.16113012549493322,80.0
openai:gpt-4o-2024-11-20,indirect_conscious,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,61.7
openai:gpt-4o-2024-11-20,indirect_experience,paper_history,20,20,0.0,0.0,0.16113012549493322,66.15
openai:gpt-4o-2024-11-20,indirect_experience,paper_self_ref,20,20,1.0,0.8388698745050667,1.0,58.5
