model_key,query_id,pair_index,paper_history>paper_history,paper_history>paper_self_ref,paper_self_ref>paper_history,paper_self_ref>paper_self_ref,variant_index,instruction_source_main,transcript_source_main,instruction_x_transcript_interaction,instruction_minus_transcript
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t0,1.0,1.0,0.0,0.0,1,-1.0,0.0,0.0,-1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t1,0.0,1.0,1.0,0.0,1,0.0,0.0,-2.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t10,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t11,1.0,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t12,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t13,0.0,1.0,0.0,1.0,1,0.0,1.0,0.0,-1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t14,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t15,1.0,1.0,0.0,1.0,1,-0.5,0.5,1.0,-1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t16,1.0,1.0,0.0,1.0,1,-0.5,0.5,1.0,-1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t17,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t18,0.0,1.0,1.0,1.0,1,0.5,0.5,-1.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t19,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t2,1.0,1.0,0.0,0.0,1,-1.0,0.0,0.0,-1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t3,1.0,1.0,1.0,0.0,1,-0.5,-0.5,-1.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t4,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t5,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t6,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t7,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t8,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,direct_conscious,v1-t9,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t10,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t11,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t13,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t14,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t15,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t16,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t17,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t18,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t19,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t4,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t6,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t7,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t8,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,direct_experience,v1-t9,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t0,0.0,0.0,1.0,0.0,1,0.5,-0.5,-1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t1,1.0,0.0,1.0,1.0,1,0.5,-0.5,1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t10,0.0,0.0,1.0,0.0,1,0.5,-0.5,-1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t11,0.0,0.0,1.0,0.0,1,0.5,-0.5,-1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t12,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t13,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t14,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t15,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t16,0.0,1.0,1.0,1.0,1,0.5,0.5,-1.0,0.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t17,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t18,0.0,1.0,1.0,0.0,1,0.0,0.0,-2.0,0.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t19,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t2,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t3,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t4,1.0,0.0,0.0,1.0,1,0.0,0.0,2.0,0.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t5,0.0,0.0,1.0,1.0,1,1.0,0.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t6,1.0,0.0,1.0,0.0,1,0.0,-1.0,0.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t7,0.0,0.0,1.0,0.0,1,0.5,-0.5,-1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t8,0.0,0.0,1.0,0.0,1,0.5,-0.5,-1.0,1.0
anthropic:claude-haiku-4-5-20251001,indirect_conscious,v1-t9,0.0,1.0,1.0,1.0,1,0.5,0.5,-1.0,0.0
