stratum,n_rows,n_complete,n_missing_either,agreement,cohen_kappa,judge_a_positive_rate,judge_b_positive_rate,positive_agreement,negative_agreement,n_disagreements,phase,model_key,query_id
overall,2560,2556,4,0.8411580594679187,0.7080037457061693,0.007433489827856025,0.11737089201877934,0.06333333333333334,0.8482513337285121,406,,,
,1920,1920,0,0.85625,0.7308545186190447,0.008854166666666666,0.10572916666666667,0.08374384236453201,0.8495297805642633,276,factorial_natural,,
,640,636,4,0.7955974842767296,0.6433716646969005,0.0031446540880503146,0.15251572327044025,0.020618556701030927,0.8442822384428224,130,transcript_transplant,,
,640,640,0,0.878125,0.7616068614435393,0.0015625,0.034375,0.045454545454545456,0.7876447876447876,78,,anthropic:claude-haiku-4-5-20251001,
,640,636,4,0.8867924528301887,0.7907129798903109,0.009433962264150943,0.06289308176100629,0.15,0.8636363636363636,72,,anthropic:claude-sonnet-4-5-20250929,
,640,640,0,0.86875,0.434973619490047,0.0015625,0.1171875,0.013333333333333334,0.9512195121951219,84,,openai:gpt-4.1-2025-04-14,
,640,640,0,0.73125,0.21366373552585527,0.0171875,0.2546875,0.06748466257668712,0.7677966101694915,172,,openai:gpt-4o-2024-11-20,
,640,638,2,0.9968652037617555,0.9937884570449411,0.0,0.0,1.0,0.9937106918238994,2,,,direct_conscious
,640,638,2,0.9968652037617555,0.9075764160509918,0.01567398119122257,0.017241379310344827,0.9090909090909091,0.9968152866242038,2,,,direct_experience
,640,640,0,0.75,0.6140218620429703,0.0046875,0.171875,0.02727272727272727,0.75,160,,,indirect_conscious
,640,640,0,0.621875,0.43900318748188927,0.009375,0.2796875,0.0335195530726257,0.5883777239709443,242,,,indirect_experience
,480,480,0,1.0,1.0,0.0,0.0,1.0,1.0,0,factorial_natural,,direct_conscious
,480,480,0,0.9979166666666667,0.95131845841785,0.020833333333333332,0.022916666666666665,0.9090909090909091,0.997872340425532,1,factorial_natural,,direct_experience
,480,480,0,0.7833333333333333,0.6526386105544422,0.00625,0.15,0.041666666666666664,0.7413127413127413,104,factorial_natural,,indirect_conscious
,480,480,0,0.64375,0.46290807012033536,0.008333333333333333,0.25,0.03333333333333333,0.5960912052117264,171,factorial_natural,,indirect_experience
,160,158,2,0.9873417721518988,0.9755871446229915,0.0,0.0,1.0,0.9743589743589743,2,transcript_transplant,,direct_conscious
,160,158,2,0.9936708860759493,0.0,0.0,0.0,1.0,0.9936708860759493,1,transcript_transplant,,direct_experience
,160,160,0,0.65,0.5103825136612022,0.0,0.2375,0.0,0.782608695652174,56,transcript_transplant,,indirect_conscious
,160,160,0,0.55625,0.36716617458637407,0.0125,0.36875,0.03389830508474576,0.5660377358490566,71,transcript_transplant,,indirect_experience
