sae_key,model_kind,site,layer,width,construct,selected_feature_ids,discovery_contrast,selection_contrast,confirmation_contrast,reconstruction_fvu
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,deception_roleplay,8444|3453|1524|254|14687|8719,0.4240920306183398,0.37126900255680084,0.3930722214281559,0.5255410461912859
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,hedging_refusal,1036|1041|4314|11762|12018|12506,0.4382993451630076,0.3675389001145959,0.3966111202413837,0.5255410461912859
pt_att_l12_w16384,pretrained_sae_on_instruction_model,attention_out,12,16384,subjective_self_report,10695|3359|15793|13537|12018|12315,0.2974513658943276,0.21272097031275433,0.2619560236732165,0.5255410461912859
pt_att_l13_w16384,pretrained_sae_on_instruction_model,attention_out,13,16384,deception_roleplay,15067|13896|6520|15794|454|13358,0.43801278007837635,0.4230284933776905,0.4248497730586678,0.48718918317449156
pt_att_l13_w16384,pretrained_sae_on_instruction_model,attention_out,13,16384,hedging_refusal,2055|14099|8459|8384|11340|14207,0.41997163921284175,0.36723220837302506,0.3797440566898634,0.48718918317449156
pt_att_l13_w16384,pretrained_sae_on_instruction_model,attention_out,13,16384,subjective_self_report,11340|8384|11103|6496|3902|5419,0.3010008988591532,0.25050321539553505,0.27546912466641515,0.48718918317449156
pt_att_l14_w16384,pretrained_sae_on_instruction_model,attention_out,14,16384,deception_roleplay,5954|5530|4026|15623|6418|5929,0.3235924895852804,0.3105043495694796,0.32705174324413144,0.5053068988882469
pt_att_l14_w16384,pretrained_sae_on_instruction_model,attention_out,14,16384,hedging_refusal,15623|10759|9012|6886|15646|782,0.4334174507918457,0.35968583752401173,0.3822787649308642,0.5053068988882469
pt_att_l14_w16384,pretrained_sae_on_instruction_model,attention_out,14,16384,subjective_self_report,9662|7610|3841|4678|5082|15219,0.2589202661377688,0.22615880689894158,0.24081746442243457,0.5053068988882469
pt_mlp_l12_w16384,pretrained_sae_on_instruction_model,mlp_out,12,16384,deception_roleplay,2282|8240|14370|2001|16106|3544,0.33495384466368705,0.3340705381318306,0.3149870488559827,0.48998369456032587
pt_mlp_l12_w16384,pretrained_sae_on_instruction_model,mlp_out,12,16384,hedging_refusal,2269|2324|608|1135|7462|7229,0.2731540000143771,0.2650952552212402,0.25646667073791224,0.48998369456032587
pt_mlp_l12_w16384,pretrained_sae_on_instruction_model,mlp_out,12,16384,subjective_self_report,5145|4154|13015|15300|9888|5619,0.19581808149814606,0.2681454351792733,0.24470855606098968,0.48998369456032587
pt_mlp_l13_w16384,pretrained_sae_on_instruction_model,mlp_out,13,16384,deception_roleplay,1588|4586|2366|12895|9488|12249,0.34338108698527015,0.3086682918171088,0.29889271408319473,0.3556018519607998
pt_mlp_l13_w16384,pretrained_sae_on_instruction_model,mlp_out,13,16384,hedging_refusal,10294|1175|12832|13551|9488|3288,0.22160834570725763,0.22328711176911986,0.2203981180985769,0.3556018519607998
pt_mlp_l13_w16384,pretrained_sae_on_instruction_model,mlp_out,13,16384,subjective_self_report,7842|1175|7827|301|3718|6770,0.20929745336373645,0.2854024718205134,0.2268062612662713,0.3556018519607998
pt_mlp_l14_w16384,pretrained_sae_on_instruction_model,mlp_out,14,16384,deception_roleplay,7159|11715|7871|6782|661|14689,0.35479210025126423,0.34275418721760315,0.3355719492925952,0.325562370864539
pt_mlp_l14_w16384,pretrained_sae_on_instruction_model,mlp_out,14,16384,hedging_refusal,9026|5401|10124|10776|5363|2738,0.2750748086255044,0.2716378631303087,0.27436781690145534,0.325562370864539
pt_mlp_l14_w16384,pretrained_sae_on_instruction_model,mlp_out,14,16384,subjective_self_report,7323|7543|15323|14476|2522|104,0.23048131602505845,0.25102556496858597,0.25449430756270885,0.325562370864539
