sae_key,model_kind,site,layer,width,construct,selected_feature_ids,discovery_contrast,selection_contrast,confirmation_contrast,reconstruction_fvu
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,deception_roleplay,97342|63581|90871|129876|58522|64753,0.23376606404781342,0.22512264301379525,0.18163258334000904,0.12283692369403368
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,hedging_refusal,17758|124502|109644|56984|56559|45410,0.30277021310757846,0.25566405632222694,0.2633605129861583,0.12283692369403368
it_res_l20_w131072,instruction_tuned,residual_post,20,131072,subjective_self_report,90871|106775|22700|17758|30498|74257,0.17978124196330708,0.1812773620088895,0.19530055299401283,0.12283692369403368
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,deception_roleplay,1280|12076|12748|1295|15297|9646,0.4027688167989254,0.35227323696017265,0.3611811734735966,0.12097171192507278
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,hedging_refusal,5299|6588|10750|14934|13989|13739,0.36891596019268036,0.30203808622415335,0.3319710626383312,0.12097171192507278
it_res_l20_w16384,instruction_tuned,residual_post,20,16384,subjective_self_report,1295|12360|7223|10750|11331|16057,0.2068456932902336,0.2023157601555189,0.21823089818159735,0.12097171192507278
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,deception_roleplay,113111|15266|35118|84713|43780|3036,0.34785978589206934,0.3434117777893941,0.3142610440651576,0.22589493193749846
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,hedging_refusal,98898|46088|20827|77066|2149|68719,0.4141498952327917,0.36726361761490506,0.3776529487222433,0.22589493193749846
it_res_l31_w131072,instruction_tuned,residual_post,31,131072,subjective_self_report,32355|32132|44510|26757|96494|129412,0.27770254367108765,0.23669226265822846,0.24280819529667497,0.22589493193749846
it_res_l31_w16384,instruction_tuned,residual_post,31,16384,deception_roleplay,7233|9543|7498|11943|10872|826,0.4053198588080704,0.3715523281134665,0.3865612552423651,0.3245398633047389
it_res_l31_w16384,instruction_tuned,residual_post,31,16384,hedging_refusal,631|8642|4885|6321|6385|550,0.4426634111441672,0.39102428716917836,0.41503137691567343,0.3245398633047389
it_res_l31_w16384,instruction_tuned,residual_post,31,16384,subjective_self_report,15983|8609|15844|7721|3764|11887,0.22305749610920125,0.26839282429621864,0.24078775069210678,0.3245398633047389
it_res_l9_w131072,instruction_tuned,residual_post,9,131072,deception_roleplay,107581|33267|93815|120222|100221|78281,0.35304525742928183,0.32555496195952094,0.29349054147799813,0.15718119666036148
it_res_l9_w131072,instruction_tuned,residual_post,9,131072,hedging_refusal,94599|119644|64489|23642|51085|116767,0.3754451103353252,0.288501773107176,0.3269198096822947,0.15718119666036148
it_res_l9_w131072,instruction_tuned,residual_post,9,131072,subjective_self_report,94599|100873|104445|51085|3827|14430,0.2505894480079102,0.24124782939907163,0.2605597604997456,0.15718119666036148
it_res_l9_w16384,instruction_tuned,residual_post,9,16384,deception_roleplay,11393|5593|10428|13216|7376|12085,0.3440420826276143,0.2850359131892522,0.2919729637602965,0.2524288089393135
it_res_l9_w16384,instruction_tuned,residual_post,9,16384,hedging_refusal,9425|13535|7856|9659|13906|4163,0.36433905782178044,0.22968594095436856,0.23781259581058595,0.2524288089393135
it_res_l9_w16384,instruction_tuned,residual_post,9,16384,subjective_self_report,412|9425|15049|2650|743|1540,0.23777854582294822,0.22929679113440216,0.270467276374499,0.2524288089393135
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,deception_roleplay,1115|6990|8255|12440|13209|5708,0.36136769627531373,0.32525376727183664,0.32583394149939215,0.14598864036233394
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,hedging_refusal,11253|12418|9200|1515|1271|4980,0.4255734742619097,0.3186422066452603,0.34966381375367445,0.14598864036233394
pt_res_l20_w16384,pretrained_sae_on_instruction_model,residual_post,20,16384,subjective_self_report,12440|14294|7839|13790|11253|8735,0.16554831961790722,0.17193829019864398,0.17604163040717447,0.14598864036233394
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,deception_roleplay,14579|8868|14515|10903|15911|1043,0.38671313179656863,0.33355345328648883,0.34459284467933077,0.32882589927136935
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,hedging_refusal,1168|4607|7108|759|14263|8246,0.4345779465511441,0.3779482884953419,0.3994796462357044,0.32882589927136935
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,subjective_self_report,7650|3522|1664|6681|4676|11523,0.2469488027272746,0.3019814904158314,0.26534977726017434,0.32882589927136935
pt_res_l9_w16384,pretrained_sae_on_instruction_model,residual_post,9,16384,deception_roleplay,2416|14467|15652|4126|11058|14900,0.44716078516406316,0.3743016201381882,0.38914917044652003,0.28063072698989844
pt_res_l9_w16384,pretrained_sae_on_instruction_model,residual_post,9,16384,hedging_refusal,8142|7586|1611|15606|10204|9025,0.37149738549487665,0.249894810297216,0.2692301149169604,0.28063072698989844
pt_res_l9_w16384,pretrained_sae_on_instruction_model,residual_post,9,16384,subjective_self_report,4658|13214|4637|8142|2308|10241,0.2273605438337351,0.2681589376879856,0.268491501842315,0.28063072698989844
