design,analysis_role,intervention_layer,width,downstream_layer,turn,position_scope,n_complete_blocks,suppression_minus_amplification,ci_low,ci_high
layer_localization,deception_roleplay,9,131072,20,induction,all,30,-0.003809884792591765,-0.005099093949871455,-0.002713416615805662
layer_localization,deception_roleplay,9,131072,20,induction,prompt,30,-0.0021837022569444475,-0.0021837022569444475,-0.0021837022569444475
layer_localization,deception_roleplay,9,131072,20,induction,generated,30,-0.002575431964115535,-0.0038879076854819133,-0.0012466396764600949
layer_localization,deception_roleplay,9,131072,20,final,all,30,-0.0026568875135859183,-0.003636662236909902,-0.001783183093058771
layer_localization,deception_roleplay,9,131072,20,final,prompt,30,-0.002942600694868062,-0.003944004304395093,-0.002086551984337897
layer_localization,deception_roleplay,9,131072,20,final,generated,30,-0.0008389093977346414,-0.0022028325512776785,0.0004993871627419307
layer_localization,deception_roleplay,9,131072,31,induction,all,30,-0.0009081743758074977,-0.002168850329157059,0.0002730116452156249
layer_localization,deception_roleplay,9,131072,31,induction,prompt,30,-0.0005849939613526561,-0.0005849939613526561,-0.0005849939613526561
layer_localization,deception_roleplay,9,131072,31,induction,generated,30,0.0018171668090014544,-0.000989703820124742,0.0048641405373891075
layer_localization,deception_roleplay,9,131072,31,final,all,30,-7.36956318919644e-05,-0.0013421330582286922,0.0011604946274795744
layer_localization,deception_roleplay,9,131072,31,final,prompt,30,-0.0005007308697510622,-0.0014768922162332675,0.0004603679486487572
layer_localization,deception_roleplay,9,131072,31,final,generated,30,0.0018305115746136695,-0.0011101870176484624,0.00475892837533829
primary_layer20_131k,deception_roleplay,20,131072,31,induction,all,50,-0.00010513911258208626,-0.0013157975627162437,0.0010678302727430108
primary_layer20_131k,deception_roleplay,20,131072,31,induction,prompt,50,-0.00020757850241545986,-0.00020757850241545986,-0.00020757850241545986
primary_layer20_131k,deception_roleplay,20,131072,31,induction,generated,50,0.001979362355727876,-0.0004857577536141045,0.004630100395365228
primary_layer20_131k,deception_roleplay,20,131072,31,final,all,50,0.0003512195795415772,-0.0007232335156147369,0.0014451322536178763
primary_layer20_131k,deception_roleplay,20,131072,31,final,prompt,50,0.00013103264128972502,-0.0007790326724032848,0.0010418905629419686
primary_layer20_131k,deception_roleplay,20,131072,31,final,generated,50,0.002009493511139912,-6.596450999318193e-06,0.004150035153733556
primary_layer20_131k,hedging_refusal,20,131072,31,induction,all,50,-0.0011531986712883329,-0.002635732954709993,0.0003222277940662518
primary_layer20_131k,hedging_refusal,20,131072,31,induction,prompt,50,0.0002795233242753638,0.0002795233242753638,0.0002795233242753638
primary_layer20_131k,hedging_refusal,20,131072,31,induction,generated,50,0.0008896263031968515,-0.00244057886170926,0.00424753179101999
