sae_key,construct,feature_id,discovery_rank,selection_eligible,selection_rank,selected,discovery_contrast,selection_contrast,confirmation_contrast,decoder_norm,discovery_mean_activation,discovery_positive_item_fraction,selection_positive_item_fraction,active_q90
pt_res_l20_w16384,deception_roleplay,1115,1,1,1,1,30.394012451171875,23.654430389404297,25.006378173828125,1.0004078149795532,23.831918716430664,0.49910714285714286,0.5044642857142857,57.25
pt_res_l20_w16384,deception_roleplay,6990,2,1,2,1,24.74732780456543,19.877212524414062,22.021854400634766,1.0000476837158203,12.038559913635254,0.5026785714285714,0.48392857142857143,39.47500000000001
pt_res_l20_w16384,deception_roleplay,7839,3,1,56,0,20.28955078125,3.3270263671875,-2.915802001953125,1.0005912780761719,372.25537109375,1.0,1.0,
pt_res_l20_w16384,deception_roleplay,13209,4,1,5,1,17.370344161987305,14.357715606689453,13.839086532592773,1.0000085830688477,9.533705711364746,0.375,0.37142857142857144,48.625
pt_res_l20_w16384,deception_roleplay,8255,5,1,3,1,16.5263671875,17.987239837646484,15.85888957977295,1.000008463859558,8.424665451049805,0.3535714285714286,0.38839285714285715,53.30000000000001
pt_res_l20_w16384,deception_roleplay,8910,6,1,57,0,16.126527786254883,2.4988937377929688,8.33036994934082,0.9998660087585449,21.88133430480957,0.375,0.2857142857142857,
pt_res_l20_w16384,deception_roleplay,10128,7,1,7,0,15.857975006103516,13.962532997131348,15.665581703186035,0.9998473525047302,7.593219757080078,0.2839285714285714,0.24107142857142858,
pt_res_l20_w16384,deception_roleplay,15815,8,1,16,0,15.036067008972168,10.868881225585938,10.788541793823242,0.9997915029525757,8.138225555419922,0.12589285714285714,0.11517857142857142,
pt_res_l20_w16384,deception_roleplay,6165,9,1,8,0,14.809700012207031,13.7787446975708,14.779702186584473,0.9999539256095886,6.906333923339844,0.33303571428571427,0.31785714285714284,
pt_res_l20_w16384,deception_roleplay,12440,10,1,4,1,14.3416748046875,15.5164794921875,-4.6959228515625,1.001657485961914,1170.228515625,1.0,1.0,1192.0
pt_res_l20_w16384,deception_roleplay,14629,11,1,31,0,14.10244083404541,8.658073425292969,12.531124114990234,1.0000319480895996,8.582616806030273,0.29910714285714285,0.3535714285714286,
pt_res_l20_w16384,deception_roleplay,14717,12,1,19,0,13.84296989440918,10.131641387939453,11.018050193786621,0.9999244213104248,9.654240608215332,0.4589285714285714,0.45535714285714285,
pt_res_l20_w16384,deception_roleplay,6335,13,1,64,0,13.260286331176758,-0.3840169906616211,4.419896125793457,1.00007963180542,6.0987725257873535,0.11875,0.125,
