from_layer,to_layer,from_feature_id,to_feature_id,n_common_items,activation_spearman,decoder_cosine,top20_item_jaccard,selected_descriptive_edge
0,1,335,4720,1110,0.162731716158222,0.010773994414166332,0.05263157894736842,0
0,1,335,5167,1110,0.03978308088944595,-0.015072389300714148,0.0,0
0,1,335,7161,1110,-0.06103354290042964,-0.01970960997364054,0.0,0
0,1,335,9163,1110,0.13790949764825897,-0.022568491497961713,0.02564102564102564,0
0,1,335,14489,1110,0.02211537555357485,-0.004107164738586417,0.0,0
0,1,335,14862,1110,0.04092800762685145,0.025644094102409896,0.02564102564102564,0
0,1,5303,4720,1110,0.5435005052545288,0.06267244297801565,0.05263157894736842,1
0,1,5303,5167,1110,0.2057093739145701,-0.0043033175667177405,0.0,0
0,1,5303,7161,1110,0.10552613496771132,-0.01264910000396462,0.05263157894736842,0
0,1,5303,9163,1110,0.8493002287093295,0.5212238154232994,0.3333333333333333,1
0,1,5303,14489,1110,0.12956170341681367,-0.008061908537766973,0.0,0
0,1,5303,14862,1110,0.4179491565578869,0.019775404612884285,0.17647058823529413,1
0,1,5477,4720,1110,0.18790598817589632,-0.02660038462695719,0.0,0
0,1,5477,5167,1110,0.9710696997545165,0.7705211702987806,0.17647058823529413,1
0,1,5477,7161,1110,0.7775798779484383,0.3993443902315001,0.0,1
0,1,5477,9163,1110,0.1700939275775663,0.010370181844027746,0.0,0
0,1,5477,14489,1110,-0.06726155305184334,0.3477488722174914,0.0,0
0,1,5477,14862,1110,0.26659455655479447,-0.035967477735897334,0.0,0
0,1,7546,4720,1110,-0.035682764346699196,-0.020313871688828197,0.05263157894736842,0
0,1,7546,5167,1110,-0.0830903466115683,0.2853608860416907,0.0,0
0,1,7546,7161,1110,-0.06204773811077646,0.22964271801473524,0.0,0
0,1,7546,9163,1110,0.07060876586869769,0.0028408771886773107,0.0,0
0,1,7546,14489,1110,0.7358592490912559,0.8241484096861686,0.05263157894736842,1
0,1,7546,14862,1110,0.17094070219143048,-0.04232568940707716,0.14285714285714285,0
0,1,13182,4720,1110,0.025050959050294117,-0.023823566782340128,0.0,0
0,1,13182,5167,1110,0.08795852369422098,0.13643833674825992,0.0,0
0,1,13182,7161,1110,0.11087188499234317,0.1693244365056811,0.05263157894736842,0
0,1,13182,9163,1110,0.0740112157104472,0.004245231136940828,0.0,0
0,1,13182,14489,1110,0.05944462757216939,0.2590232560072789,0.0,0
0,1,13182,14862,1110,0.06469111284852974,-0.02299924327058085,0.0,0
0,1,15783,4720,1110,0.3628114579549529,-0.002794159248958048,0.08108108108108109,0
0,1,15783,5167,1110,0.2813320489706119,-0.0017933620041812905,0.0,0
0,1,15783,7161,1110,0.12483125280108236,-0.006052221378762237,0.0,0
0,1,15783,9163,1110,0.365407116138906,0.007517104165795804,0.0,0
0,1,15783,14489,1110,0.12193418457375943,-0.04053894571540717,0.0,0
0,1,15783,14862,1110,0.32587174938313035,-0.024146779959948683,0.0,0
1,2,4720,475,1110,0.635878473832355,0.14804958803771182,0.05263157894736842,1
1,2,4720,4121,1110,0.22418542208283906,-0.007260718787758312,0.02564102564102564,0
1,2,4720,5829,1110,0.10630313643465447,-0.02516903597737945,0.0,0
1,2,4720,15764,1110,0.25464124087135387,0.011572303245682208,0.08108108108108109,0
1,2,4720,15809,1110,0.0310995209069998,0.005700158361652413,0.05263157894736842,0
1,2,4720,16156,1110,0.16825821452630496,0.008631084887523,0.1111111111111111,0
1,2,5167,475,1110,0.11963018772920937,-0.0011384893598245767,0.0,0
1,2,5167,4121,1110,0.9679180488264384,0.7679968351751836,0.25,1
1,2,5167,5829,1110,0.8462856149691389,0.4973576059383023,0.0,1
1,2,5167,15764,1110,0.19168061965958824,-0.00722712667596778,0.0,0
1,2,5167,15809,1110,0.16245320430572804,-0.011805599223305568,0.0,0
1,2,5167,16156,1110,0.11679523750637595,-0.025123071953404727,0.0,0
1,2,7161,475,1110,0.08094657363234953,-0.01852565669920458,0.02564102564102564,0
1,2,7161,4121,1110,0.7666297183530445,0.23829992700248853,0.0,1
1,2,7161,5829,1110,0.8914100059552821,0.7700661990309171,0.0,1
1,2,7161,15764,1110,0.11733608157487521,-0.03711878563552049,0.0,0
1,2,7161,15809,1110,0.1580297391262853,-0.007604292224236379,0.0,0
1,2,7161,16156,1110,0.0434154943794153,-0.001535227619615846,0.0,0
1,2,9163,475,1110,0.8607554191145544,0.725456215271864,0.3333333333333333,1
1,2,9163,4121,1110,0.18182381060176342,0.023883256707049404,0.0,0
1,2,9163,5829,1110,0.08368352421240417,-0.005572108670494396,0.0,0
1,2,9163,15764,1110,0.3824231687590369,0.024484094753813156,0.0,0
1,2,9163,15809,1110,0.10533901950947637,-0.005227889941052818,0.0,0
1,2,9163,16156,1110,0.2441266904510204,0.028540817759037152,0.0,0
1,2,14489,475,1110,0.1830348161795183,-0.028167803416539332,0.0,0
1,2,14489,4121,1110,-0.10093038955125469,0.3922729400217768,0.0,0
1,2,14489,5829,1110,-0.03752960021209364,0.3299663249594588,0.0,0
1,2,14489,15764,1110,0.1424289504379325,-0.03868495220332034,0.0,0
1,2,14489,15809,1110,0.1683661192783282,-0.05642051440528194,0.0,0
1,2,14489,16156,1110,0.14179067867865922,-0.013062771168012681,0.0,0
1,2,14862,475,1110,0.39306052526515894,0.017323097397825223,0.17647058823529413,1
1,2,14862,4121,1110,0.27483246609716716,-0.006453652171133316,0.0,0
1,2,14862,5829,1110,0.2099546191902683,-0.03352388528875472,0.0,0
1,2,14862,15764,1110,0.7967411240436195,0.56915109082922,0.6666666666666666,1
1,2,14862,15809,1110,0.2019113986492241,0.06177658788653675,0.1111111111111111,0
1,2,14862,16156,1110,0.25860602980772723,0.07609734399279942,0.0,1
2,3,475,4668,1110,0.09963601792271075,-0.02595193990357692,0.0,0
2,3,475,5100,1110,0.04618868506213471,-0.009436673227840848,0.0,0
2,3,475,5829,1110,0.08352261949188043,-0.010678154144609958,0.0,0
2,3,475,6892,1110,0.08273084265474148,0.0036503703080296456,0.0,0
2,3,475,7274,1110,0.07818600620673656,-0.005382070063873369,0.0,0
2,3,475,14792,1110,-0.11710938551487576,0.009588232109916736,0.0,0
2,3,4121,4668,1110,-0.09069671186166525,0.21510385791898196,0.0,0
2,3,4121,5100,1110,0.22261326195352577,-0.02964977127624283,0.0,0
2,3,4121,5829,1110,0.9028560267708859,0.7914931258067203,0.21212121212121213,1
2,3,4121,6892,1110,0.15115119630682472,-0.015197414044195121,0.0,0
2,3,4121,7274,1110,0.08199278518929332,-0.025060525575187845,0.02564102564102564,0
2,3,4121,14792,1110,0.1741370326076991,-0.0448240920299592,0.0,0
2,3,5829,4668,1110,-0.04849367633750829,0.3558294786403167,0.0,0
2,3,5829,5100,1110,0.14712895538673232,-0.010128345116701711,0.0,0
2,3,5829,5829,1110,0.8836597335051597,0.7266380386937946,0.0,1
2,3,5829,6892,1110,0.14905662375100726,-0.02093653106938808,0.0,0
2,3,5829,7274,1110,0.030587504508777716,-0.03632577275580166,0.0,0
2,3,5829,14792,1110,0.14843008598202592,-0.04846652042301938,0.0,0
2,3,15764,4668,1110,0.10374440633098382,-0.03136758947138086,0.14285714285714285,0
2,3,15764,5100,1110,0.2936307791373514,0.1115328347420967,0.0,1
2,3,15764,5829,1110,0.14284583802758402,-0.020030984177672746,0.0,0
2,3,15764,6892,1110,0.2216477668746741,-0.05339456418970877,0.0,0
2,3,15764,7274,1110,0.0945302133400562,0.08030982828340087,0.0,0
2,3,15764,14792,1110,-0.003331144203441846,-0.0006637312803356071,0.0,0
2,3,15809,4668,1110,0.3312796665134099,-0.04250140434847148,0.05263157894736842,0
2,3,15809,5100,1110,0.8968677358875642,0.9401628357227226,0.42857142857142855,1
2,3,15809,5829,1110,0.1756094411773447,-0.01986689983726425,0.05263157894736842,0
2,3,15809,6892,1110,0.16838236666667544,-0.029201101969894134,0.08108108108108109,0
2,3,15809,7274,1110,0.0313370154693746,0.07962410830001916,0.0,0
2,3,15809,14792,1110,0.5150599641128981,-0.0028672598972055785,0.25,1
2,3,16156,4668,1110,0.15807732847927894,0.00805427451533314,0.0,0
2,3,16156,5100,1110,0.03127700202865368,0.057669538288780756,0.0,0
2,3,16156,5829,1110,0.061152068447032276,-0.018378114101044066,0.0,0
2,3,16156,6892,1110,0.11127518437513702,-0.02022666935794876,0.0,0
2,3,16156,7274,1110,0.6875972637078872,0.6901092723720179,1.0,1
2,3,16156,14792,1110,-0.028697773978538656,0.06495688119686288,0.0,0
3,4,4668,1149,1110,0.13636970508486745,-0.006291301093562414,0.0,0
3,4,4668,4121,1110,-0.07516679409020499,0.2672691150905136,0.0,0
3,4,4668,4414,1110,0.7297079318877129,0.8173777562038921,0.02564102564102564,1
3,4,4668,9545,1110,-0.07753532259432973,0.2573410615049757,0.0,0
3,4,4668,10543,1110,-0.040214159154053804,0.30252983512987536,0.0,0
3,4,4668,16237,1110,0.23703134239343787,-0.045687784215898114,0.05263157894736842,0
3,4,5100,1149,1110,0.2497264919674569,-0.026777042277882194,0.14285714285714285,0
3,4,5100,4121,1110,0.18271992943014703,-0.03499675980092253,0.08108108108108109,0
3,4,5100,4414,1110,0.012648940715013176,-0.07897776939908566,0.02564102564102564,0
3,4,5100,9545,1110,0.08343938651486524,-0.0825101371140864,0.0,0
3,4,5100,10543,1110,0.2073066502854085,-0.024367584123146845,0.0,0
3,4,5100,16237,1110,0.887612817112841,0.9524653625737977,0.6666666666666666,1
3,4,5829,1149,1110,0.12892377083525086,0.0023304272102801756,0.02564102564102564,0
3,4,5829,4121,1110,0.8703167352271687,0.6608921283891308,0.2903225806451613,1
3,4,5829,4414,1110,-0.16175163481665986,0.4867357698165569,0.0,0
3,4,5829,9545,1110,0.047383295095829045,0.3018464513538113,0.0,0
3,4,5829,10543,1110,0.920961969177876,0.8147899818297724,0.0,1
3,4,5829,16237,1110,0.17498782854231218,-0.021491294358217828,0.08108108108108109,0
3,4,6892,1149,1110,0.8509578850587137,0.6526312487613354,0.7391304347826086,1
3,4,6892,4121,1110,0.18128057314638682,-0.016081012064459405,0.05263157894736842,0
