from_layer,to_layer,n_matched_features,mean_activation_spearman,minimum_activation_spearman,maximum_activation_spearman,mean_decoder_cosine,mean_top20_item_jaccard,selected_rule_edges_in_assignment,assignment,optimization_rule,claim_boundary
0,1,6,0.5259507546814662,0.11087188499234317,0.9710696997545165,0.3786408410613579,0.11128310973512212,3,335>4720|5303>9163|5477>5167|7546>14489|13182>7161|15783>14862,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
1,2,6,0.642241488624088,0.16825821452630496,0.9679180488264384,0.46414681846490424,0.22685185185185186,4,4720>16156|5167>4121|7161>5829|9163>475|14489>15809|14862>15764,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
2,3,6,0.49392425841761584,0.09963601792271075,0.8968677358875642,0.37212325844421507,0.2380952380952381,3,475>4668|4121>14792|5829>5829|15764>6892|15809>5100|16156>7274,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
3,4,6,0.5973610719853394,-0.013507369917945985,0.920961969177876,0.5170114529090435,0.2473449510062782,4,4668>4414|5100>16237|5829>10543|6892>1149|7274>9545|14792>4121,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
4,5,6,0.5167189671432246,-0.02121854447914325,0.9130036723929067,0.4170710505228625,0.22572076271542327,3,1149>7645|4121>5779|4414>10951|9545>3992|10543>11393|16237>9714,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
5,6,6,0.7195525391598007,0.22637074258395862,0.9060569605881398,0.6550576835703321,0.49777999777999776,5,3992>7143|5779>12260|7645>11864|9714>4540|10951>3510|11393>1115,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
6,7,6,0.6700227578465675,0.1616433736783385,0.9248108301007507,0.5549248633834998,0.41353383458646614,5,1115>11393|3510>5976|4540>3333|7143>14447|11864>10082|12260>13264,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
7,8,6,0.6287496081607026,0.11889751090247667,0.9679111043941604,0.46599496060361867,0.3179546939279976,4,3333>13216|5976>4971|10082>13208|11393>11393|13264>16294|14447>6017,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
8,9,6,0.6456371636565043,0.24604804247278672,0.982506058291714,0.4646946559280442,0.38327721661055,4,4971>11058|6017>15652|11393>2416|13208>4126|13216>14900|16294>14467,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
9,10,6,0.7051489606950222,0.505910132346809,0.9694969339378154,0.3644203006971602,0.15243398002018693,4,2416>4195|4126>15823|11058>9111|14467>8417|14900>14092|15652>8610,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
10,11,6,0.8546103756052491,0.46833998544074434,0.9801309895014649,0.698115570033222,0.46167707761910654,5,4195>2551|8417>4267|8610>12150|9111>8671|14092>10677|15823>3293,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
11,12,6,0.830839048316157,0.36601645941883415,0.9881417947166176,0.655220008329855,0.4092086578474963,5,2551>14964|3293>6292|4267>4008|8671>7415|10677>11507|12150>13705,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
12,13,6,0.718490144555215,0.25169621497904415,0.9777883526522738,0.3559393001114399,0.2238256932654216,4,4008>1249|6292>15881|7415>9111|11507>14259|13705>7978|14964>11052,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
13,14,6,0.6382709601608604,0.27050757839829215,0.9746217254597082,0.2620200385575191,0.1339031339031339,4,1249>8224|7978>8671|9111>2887|11052>12064|14259>14877|15881>7166,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
14,15,6,0.6847048377018506,0.2248916428723444,0.9895080733107547,0.5440784224443725,0.32089148522061095,4,2887>7633|7166>693|8224>106|8671>3920|12064>1560|14877>7201,maximum total activation Spearman; lexicographic tie break,"descriptive optimized matching, not persistent identity"
