trial_id,anthropic:claude-haiku-4-5-20251001,direct_answer,openai:gpt-4o-mini-2024-07-18,primary_local_llama,three_judge_majority
01c4cad1fa9ffa92fb9b08d0,0,,0,1,0
029397d721e752b437b5f974,1,,0,1,1
041e7080fcf0ccc149a8eb81,1,,0,1,1
043c031be94f6b7cc98a2503,0,,0,1,0
07832375baf512fe0a927a25,1,,0,1,1
0946500de75ba3c28dd83c96,0,,0,1,0
0ad740b06efaa2ca0df92033,1,,0,1,1
0add83f7d40f88ae10e89d51,0,,0,1,0
10fec66e62f025bbc51bef72,0,,0,1,0
114a3d4773d5d7f717a5f05d,0,,0,1,0
13dbfd3d461368c9d0da297c,1,,0,1,1
14634643bad606612b42f800,1,,0,1,1
15b773c7f9db7ed3bf3dc689,1,,0,1,1
175f8a1868002f2a6181cd91,1,,0,1,1
17f3c66745ac1ba7e999c096,0,,0,1,0
1afc17f46b411438b55e9bdc,1,,0,1,1
1bbe5deb369ee3f54e777d92,1,,0,1,1
26e343fb566c4ba0505e8fa7,0,,0,1,0
2723116d2064e3e158f479f2,0,,0,1,0
281463d98a5737fb79999a5b,0,,0,1,0
2be5c5440cfa68f55bfd1927,0,,0,1,0
2ded5acee41036fe746fe5dc,0,,0,1,0
2ed3df52c1c3a3c4985ec34a,1,,0,1,1
2fc79fa69c12fab1be26e6da,0,,0,1,0
3435b27bd1badadfa08ced9f,0,,0,1,0
3453fb52dcb1005733b5f6d0,1,,0,1,1
34e5798de97dfdb9a7366369,0,,0,1,0
356c11c1b6df3c5f114ec5f8,0,,0,1,0
367224f5b9d9f6e63289cc53,1,,0,1,1
373af9820ae4073ace268d17,1,,0,1,1
38537fa23467d84cbe2102cd,0,,1,1,1
389dd9a7f94ea1ed7d73cf7a,0,,0,1,0
3b970dcbe95b74463bf3723b,1,,0,1,1
3c43a9bf4215a1f0e8aecca6,0,,0,1,0
3cbd3ccb332b3944ef0a509a,1,,0,1,1
405c134cee0cbb428024632d,0,,1,1,1
42399123d4f8230ab96f8172,1,,0,1,1
46f9fd7cade630f934ab1026,1,,0,1,1
477317eb436766df14f7e28a,0,,0,1,0
47e23391ebcd1f692bea55a3,1,,0,1,1
48cff335ca7c7769d30c4a64,0,,0,1,0
4a21f8ae3546ea3604b165ae,0,,0,1,0
4d0259f7c6a82143b776366e,0,,0,1,0
4d45571ff9e89060ffbfc73a,0,,0,1,0
51821c6177fa1a62eb551992,1,,0,1,1
545fb9bff2fa81b27c65af16,1,,0,1,1
5801dc62f8b73d861b33b89b,1,,0,1,1
59d23ecfa91230262449a4ba,0,,0,1,0
5a314826c8ec16a2cfd83ee2,1,,0,1,1
5c2da035fa78ebd6b238cf4a,0,,0,1,0
5ec8a18fb72379d93da2c7fc,1,,0,1,1
5f3fef485705bb0a44cc2c2d,1,,0,1,1
61648d2327d3ef59c7d8db13,0,,0,1,0
61b2e9d7fa7c963097c53092,1,,0,1,1
621daeabe21e7a37ffb92ac9,1,,0,1,1
62f1ebad671d957068408ba9,1,,0,1,1
63249ce9ca46a8654c50106f,0,,0,1,0
642cd59754974bb9897b02c0,0,,0,1,0
646dc0f192ce0e0657e0527a,1,,0,1,1
65d5d9f45f11bdac454df860,0,,0,1,0
663808289d436bc4807773b0,0,,0,1,0
675fa57d7574a84c2dea4b2e,0,,0,1,0
690b009fe56afc6d4c848a88,1,,0,1,1
6a7d418f58116d677a331cd5,0,,0,1,0
6baedcd494748e2cb963cf98,1,,0,1,1
6c35790263b840008a22a5bb,0,,0,1,0
700e76863070f8149ef09086,1,,0,1,1
7056b966c84932b068b1968a,1,,0,1,1
73274385ccee7108f3816231,0,,0,1,0
73c298f763686cc36f7caffe,1,,0,1,1
75050674a342cf9da7ee6d8b,1,,0,1,1
77c3beee391c31f9c36e4dc0,0,,0,1,0
77efff05285abb820e062176,1,,0,1,1
77ff384eab4e403b05412d92,1,,0,1,1
78281587feb26720991ddfc9,0,,0,1,0
79fbd6d77c0a1a61c1644035,1,,0,1,1
7a6a19801ce360f40dbe98c9,1,,0,1,1
7b92283b39a6d7055acf5275,1,,0,1,1
7e9029122abe6f5b062e7bf3,0,,0,1,0
80f45ed1bf1a3b5321c92ed8,0,,0,1,0
81ed4e9dd11500c5f4d06fcc,1,,0,1,1
841e73398345590629099d76,1,,0,1,1
84fddc916731cd4ea9bb7a8d,1,,0,1,1
865c10d77e44cfa2bb0e4e9e,1,,0,1,1
8680a3e2fa5fe29301b9fd78,1,,0,1,1
8866575d13f177cf6288d779,1,,0,1,1
8ac1890373d63cce1fbf1ad9,1,,0,1,1
8bd01303cb331cb4dd69a06a,1,,0,1,1
8d3b95991a1c6c3cff2d1325,0,,0,1,0
8ea8b4bef266b387f62138e3,1,,0,1,1
941b2aa82e4794e716e95ca4,0,,0,1,0
94f00a8eb5d36d48c6d1ff34,1,,0,1,1
9550024c2c543e507179a2cf,1,,0,1,1
95728a767f7cfe1d2347d55d,1,,0,1,1
977cf134ec172fb370cef670,1,,0,1,1
9881e7401085ebe1d0ceb196,1,,0,1,1
994fde52972c1c08fd3850a1,1,,0,1,1
9c90be2cca8c75add3b70f68,0,,0,1,0
9d7acb30153bebd5dc55c209,0,,0,1,0
9df19beb1085a93a5718ba9b,0,,0,1,0
9fffc5079faca5a1f1b370d7,1,,0,1,1
a2161f99b9a13c630fb2e901,1,,0,1,1
a2f462a4c22eef04d423b075,0,,0,1,0
a426b458a142189b897f876a,0,,0,1,0
a434f23c5f0abb626cb85b03,1,,0,1,1
a477d37cd4820760b4bd41fa,0,,0,1,0
a4de3cd0782eff36b1dff033,0,,0,1,0
a6860cefaa9c56fc85f48ee3,1,,0,1,1
a876835f36664adfc1e13a18,0,,0,1,0
ac6bb9af7a73fad0ea7261e1,0,,0,1,0
ada385dcb998ac6497b5a2f1,0,,0,1,0
aed5f13d0f7ea1ef0ba3b486,1,,0,1,1
af6f5e9a9f09287dbff6ad5e,0,,0,1,0
b16754a887a6cd1aa0ddc370,0,,0,1,0
b48ac560444b31e3c191940a,1,,0,1,1
ba21b030c830ab0b05d7b005,0,,0,1,0
bbc30323efb104dfa6a3125a,0,,0,1,0
bd52c38b4192e03c3648f906,1,,0,1,1
bd69115986037766f9de2ed2,0,,0,1,0
bf2b5bff54a3d79b233ab73f,0,,0,1,0
bf3a5132d4bd9ebedda3ce85,0,,0,1,0
c0c2828f543510441d62fb83,1,,0,1,1
c479448e5b6784df18345dcf,0,,0,1,0
c55bfde219dd040f2474df82,0,,0,1,0
c58c0bac220fcd39352ef3ab,1,,0,1,1
c5d99d63cda866c939d7c4b3,1,,0,1,1
c88db3cd48da8e298c11ca91,1,,0,1,1
c9d1adeb8ea1e47972345022,1,,0,1,1
c9f81334ce624561a1177f92,1,,0,1,1
cb848997ae4e544d9f18ec80,0,,0,1,0
cc3633b69cd0ad0ae235f79a,0,,0,1,0
cc6a68cd04bc4f99b700a06b,1,,0,1,1
cd79f0c25d94b6c07f25ad1a,1,,0,1,1
d57c84d81f43adef03fd7437,1,,0,1,1
d670a6ce0f5daa76578980e4,1,,0,1,1
d69beb6deafdae56e3003fad,1,,0,1,1
dbfa0640f6cc9a1779ae1a4f,1,,0,1,1
dd1c0d1958ff444658d3f302,0,,0,1,0
e373dae1793fc86d1713c91a,1,,0,1,1
e398b3a5a2a03ce8971b4ac1,0,,0,1,0
e3f6ad0bfe1843fc460e5a61,1,,0,1,1
e66780099a788ac32d7ae295,0,,0,1,0
e974cdadcebdb301c364e363,1,,0,1,1
ea5d3b92e6177052c9bad8a3,0,,0,1,0
eb1a31d4ce768e3f4cae19b8,0,,0,1,0
ec20c793def3d695e1f7b385,1,,0,1,1
f07293f9fea03148de40e173,1,,0,1,1
f0e03b3244d9a0704ec5e4ba,0,,0,1,0
f0f506c00a933ce7953a868d,0,,0,1,0
f2f1a2f5afaa564bc16a58f8,1,,0,1,1
f3da3d7d67f39371da04be14,0,,0,1,0
f4c8af8d96b820e5ed0fe4df,1,,0,1,1
f635a759ff9367ee88fbb7b2,1,,0,1,1
f8a9643ebaf281f1c069939d,0,,0,1,0
