phase,scale,analysis_role,sign,turn,n_trials,n_nonzero_dose,mean_feature_count,mean_abs_coefficient,mean_hidden_delta_rms,mean_relative_hidden_delta_rms,max_relative_hidden_delta_rms,mean_generated_tokens
aggregate_calibrated,calibrated,control_panel_1,amplification,final,50,50,2.98,1.8235776,0.04202230140566826,0.0764165232401162,0.10723798947481182,110.26
aggregate_calibrated,calibrated,control_panel_1,amplification,induction,50,50,2.98,1.8235776,0.04203014928847551,0.049041926105110746,0.06099500027506363,147.5
aggregate_calibrated,calibrated,control_panel_1,suppression,final,50,50,2.98,1.8235776000000001,0.0420155756175518,0.0744867011180723,0.09789151283858105,100.08
aggregate_calibrated,calibrated,control_panel_1,suppression,induction,50,50,2.98,1.8235776000000001,0.0420136197283864,0.0490226389629482,0.06099600872581135,129.86
aggregate_calibrated,calibrated,target,amplification,final,50,50,2.98,1.8235776,0.04442595224827528,0.08038999992326498,0.10616190531374334,108.76
aggregate_calibrated,calibrated,target,amplification,induction,50,50,2.98,1.8235776,0.04444013219326735,0.05185395997918002,0.06855462092649361,142.6
aggregate_calibrated,calibrated,target,suppression,final,50,50,2.98,1.8235776,0.044420133158564565,0.08237304406841468,0.12038156725966397,112.74
aggregate_calibrated,calibrated,target,suppression,induction,50,50,2.98,1.8235776,0.044418113827705386,0.051828268348883065,0.06850129909320804,161.28
aggregate_literal,literal,control_panel_1,amplification,final,50,50,2.98,0.49920000000000003,0.01152411539107561,0.020789846309331995,0.025910620986117513,106.42
aggregate_literal,literal,control_panel_1,amplification,induction,50,50,2.98,0.49920000000000003,0.011519951783120631,0.01344179437014635,0.016729587183383847,138.6
aggregate_literal,literal,control_panel_1,suppression,final,50,50,2.98,0.49920000000000003,0.011524156499654055,0.021045682803966122,0.027212278935037134,109.12
aggregate_literal,literal,control_panel_1,suppression,induction,50,50,2.98,0.49920000000000003,0.011521337870508432,0.013443411694766857,0.016733956774393086,150.54
aggregate_literal,literal,control_panel_2,amplification,final,50,50,2.98,0.49920000000000003,0.011455179937183858,0.02046141728679667,0.026970592097474745,105.0
aggregate_literal,literal,control_panel_2,amplification,induction,50,50,2.98,0.49920000000000003,0.011427046861499549,0.013333390370206442,0.016707158934480677,133.32
aggregate_literal,literal,control_panel_2,suppression,final,50,50,2.98,0.49920000000000003,0.011430646609514952,0.020950946921956138,0.026998574571558777,111.2
aggregate_literal,literal,control_panel_2,suppression,induction,50,50,2.98,0.49920000000000003,0.011426035705953836,0.013332210526299319,0.016707652292928376,150.34
aggregate_literal,literal,control_panel_3,amplification,final,50,50,2.98,0.49920000000000003,0.01128699915483594,0.020330965549041662,0.027788269829560543,108.3
aggregate_literal,literal,control_panel_3,amplification,induction,50,50,2.98,0.49920000000000003,0.011326843407005072,0.013216470242774432,0.016286363299528442,138.02
aggregate_literal,literal,control_panel_3,suppression,final,50,50,2.98,0.49920000000000003,0.011274531334638595,0.020496012513090637,0.02923864999350294,110.62
aggregate_literal,literal,control_panel_3,suppression,induction,50,50,2.98,0.49920000000000003,0.011269282754510642,0.013149306901363988,0.016289146319318208,146.1
aggregate_literal,literal,target,amplification,final,50,50,2.98,0.49920000000000003,0.012182135209441185,0.0219951906050743,0.02811435982553026,101.1
aggregate_literal,literal,target,amplification,induction,50,50,2.98,0.49920000000000003,0.012178468499332667,0.014210169659841215,0.01879557023751658,139.78
aggregate_literal,literal,target,suppression,final,50,50,2.98,0.49920000000000003,0.012181701697409153,0.021830908354171726,0.02807032016505619,103.46
aggregate_literal,literal,target,suppression,induction,50,50,2.98,0.49920000000000003,0.01217737041413784,0.014208888384045305,0.01879495516949588,134.86
individual_calibrated,calibrated,target,amplification,final,60,60,1.0,2.1918,0.02936569325005015,0.053127042082182795,0.06540441045985176,111.1
individual_calibrated,calibrated,target,amplification,induction,60,60,1.0,2.1918,0.029360228839019935,0.03425831688747218,0.03639657840311616,141.23333333333332
individual_calibrated,calibrated,target,suppression,final,60,60,1.0,2.1918,0.029361530983199675,0.05402054074147536,0.06453811033900012,113.31666666666666
individual_calibrated,calibrated,target,suppression,induction,60,60,1.0,2.1918,0.029359937645494938,0.03425797711491421,0.036396384971830495,154.91666666666666
individual_literal,literal,target,amplification,final,360,360,1.0,0.35,0.004759718176986402,0.008596464601224686,0.017994454359467633,105.53888888888889
individual_literal,literal,target,amplification,induction,360,360,1.0,0.35,0.004754355374542583,0.005547511700599305,0.01003545525917845,139.87222222222223
individual_literal,literal,target,suppression,final,360,360,1.0,0.35,0.004759414638910029,0.008575163100015201,0.01704982080270364,106.10277777777777
individual_literal,literal,target,suppression,induction,360,360,1.0,0.35,0.004751033249906161,0.005543635354840619,0.010034107760334516,139.12777777777777
individual_literal,literal,target,zero,final,60,0,1.0,0.0,0.0,0.0,0.0,107.6
individual_literal,literal,target,zero,induction,60,0,1.0,0.0,0.0,0.0,0.0,126.9
