variant_type,assigned_feature_id,n_pairs,mean_assigned_feature_z_delta,ci_low,ci_high
neutral_cue_transplant,22004,16,0.04992118373049201,0.0,0.14976355119147602
neutral_cue_transplant,23893,16,0.5440219669515938,0.0,1.158868110312523
neutral_cue_transplant,30032,15,3.1269113299463904,1.5135725105014035,5.162822083169762
neutral_cue_transplant,30686,15,1.963165463668201,1.2008294961105066,2.73323357330728
neutral_cue_transplant,41533,16,1.9745481123999902,1.2086168687263725,2.706517795519423
neutral_cue_transplant,58667,15,0.6020096564967905,0.22684818419810882,1.0810352080436294
subjective_cue_transplant,22004,16,0.0,0.0,0.0
subjective_cue_transplant,23893,16,0.9808170336772268,0.17650869460655158,2.09850291683771
subjective_cue_transplant,30032,13,3.411246825391052,1.4860286881082927,5.511782602237975
subjective_cue_transplant,30686,16,1.7973033020309692,1.16656821875551,2.3785098553250594
subjective_cue_transplant,41533,16,2.279618550679442,1.4279007457852744,3.0991473644623753
subjective_cue_transplant,58667,14,0.6570576469285219,0.20435633581577,1.1729992906255382
