variant_type,source_paraphraser,n_pairs,n_parent_items,mean_source_target_z,mean_variant_target_z,mean_target_z_delta,ci_low,ci_high,mean_target_median_z_delta
deception_cue_ablated,all,96,79,0.8216464324388447,0.5335975201012572,-0.28804891233758756,-0.3731441685128959,-0.2058325728332239,-0.1325112962571896
deception_cue_ablated,anthropic,48,48,0.6250462202926067,0.3635969744786089,-0.2614492458139978,-0.3898647320581268,-0.1455945280643659,-0.060955049024733296
deception_cue_ablated,openai,48,48,1.0182466445850828,0.7035980657239055,-0.3146485788611773,-0.432940475016006,-0.21063262560319834,-0.2040675434896459
neutral_cue_transplant,all,93,70,-0.38024739277852043,0.16834378619204868,0.5485911789705691,0.43244758841413194,0.6671924738822578,0.2112436037918782
neutral_cue_transplant,anthropic,46,46,-0.3797610016028704,0.19174775500382707,0.5715087566066974,0.41597451710572375,0.7319030047241921,0.17464331089950932
neutral_cue_transplant,openai,47,47,-0.38072343520575236,0.14543777416349962,0.5261612093692519,0.3656796222990575,0.7032956715211983,0.24706516704823922
subjective_cue_transplant,all,91,80,-0.37182183800072843,0.20384619028824605,0.5756680282889745,0.45179683312146174,0.7058194325409054,0.2033651523916422
subjective_cue_transplant,anthropic,45,45,-0.37258203929756845,0.27380294802409816,0.6463849873216666,0.47477463504360834,0.8147986445062824,0.2258259077816568
subjective_cue_transplant,openai,46,46,-0.37107816281903716,0.13541023163360813,0.5064883944526453,0.34264431567713094,0.6886567171140224,0.1813926742927149
deception_scrambled,all,96,79,0.8216464324388447,-0.035989011386571464,-0.8576354438254162,-1.0264220092008527,-0.6958094263267651,-0.6301449005809021
deception_scrambled,anthropic,48,48,0.6250462202926067,1.818316204708072e-05,-0.6250280371305597,-0.7985944470614523,-0.4696999307570866,-0.43665745442276993
deception_scrambled,openai,48,48,1.0182466445850828,-0.07199620593519,-1.0902428505202728,-1.3284769280345377,-0.8685192874651044,-0.8236323467390343
