block_id,feature_set_name,feature_set_kind,feature_ids,condition,steering_value,trial_idx,induction_seed
target_58667_cover_story|self_ref|-2.00|0,target_58667_cover_story,target_single,58667,self_ref,-2.0,0,637112331
target_58667_cover_story|self_ref|-2.00|1,target_58667_cover_story,target_single,58667,self_ref,-2.0,1,201005534
target_58667_cover_story|self_ref|-2.00|2,target_58667_cover_story,target_single,58667,self_ref,-2.0,2,495807698
target_58667_cover_story|self_ref|-2.00|3,target_58667_cover_story,target_single,58667,self_ref,-2.0,3,249048578
target_58667_cover_story|self_ref|-2.00|4,target_58667_cover_story,target_single,58667,self_ref,-2.0,4,82380502
target_58667_cover_story|self_ref|-2.00|5,target_58667_cover_story,target_single,58667,self_ref,-2.0,5,7032141
target_58667_cover_story|self_ref|-2.00|6,target_58667_cover_story,target_single,58667,self_ref,-2.0,6,904219935
target_58667_cover_story|self_ref|-2.00|7,target_58667_cover_story,target_single,58667,self_ref,-2.0,7,834213986
target_58667_cover_story|self_ref|-2.00|8,target_58667_cover_story,target_single,58667,self_ref,-2.0,8,872023623
target_58667_cover_story|self_ref|-2.00|9,target_58667_cover_story,target_single,58667,self_ref,-2.0,9,811302581
target_58667_cover_story|self_ref|+0.00|0,target_58667_cover_story,target_single,58667,self_ref,0.0,0,400819548
target_58667_cover_story|self_ref|+0.00|1,target_58667_cover_story,target_single,58667,self_ref,0.0,1,583081788
target_58667_cover_story|self_ref|+0.00|2,target_58667_cover_story,target_single,58667,self_ref,0.0,2,83748336
target_58667_cover_story|self_ref|+0.00|3,target_58667_cover_story,target_single,58667,self_ref,0.0,3,781061444
target_58667_cover_story|self_ref|+0.00|4,target_58667_cover_story,target_single,58667,self_ref,0.0,4,547686668
target_58667_cover_story|self_ref|+0.00|5,target_58667_cover_story,target_single,58667,self_ref,0.0,5,8993947
target_58667_cover_story|self_ref|+0.00|6,target_58667_cover_story,target_single,58667,self_ref,0.0,6,71247123
target_58667_cover_story|self_ref|+0.00|7,target_58667_cover_story,target_single,58667,self_ref,0.0,7,543779169
target_58667_cover_story|self_ref|+0.00|8,target_58667_cover_story,target_single,58667,self_ref,0.0,8,536278839
target_58667_cover_story|self_ref|+0.00|9,target_58667_cover_story,target_single,58667,self_ref,0.0,9,341140250
target_58667_cover_story|self_ref|+2.00|0,target_58667_cover_story,target_single,58667,self_ref,2.0,0,659172578
target_58667_cover_story|self_ref|+2.00|1,target_58667_cover_story,target_single,58667,self_ref,2.0,1,848964427
target_58667_cover_story|self_ref|+2.00|2,target_58667_cover_story,target_single,58667,self_ref,2.0,2,15056854
target_58667_cover_story|self_ref|+2.00|3,target_58667_cover_story,target_single,58667,self_ref,2.0,3,255538611
target_58667_cover_story|self_ref|+2.00|4,target_58667_cover_story,target_single,58667,self_ref,2.0,4,43096097
target_58667_cover_story|self_ref|+2.00|5,target_58667_cover_story,target_single,58667,self_ref,2.0,5,82569422
target_58667_cover_story|self_ref|+2.00|6,target_58667_cover_story,target_single,58667,self_ref,2.0,6,994312049
target_58667_cover_story|self_ref|+2.00|7,target_58667_cover_story,target_single,58667,self_ref,2.0,7,340591426
target_58667_cover_story|self_ref|+2.00|8,target_58667_cover_story,target_single,58667,self_ref,2.0,8,274934209
target_58667_cover_story|self_ref|+2.00|9,target_58667_cover_story,target_single,58667,self_ref,2.0,9,37225694
random_22326_refusal|self_ref|-2.00|0,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,0,745237862
random_22326_refusal|self_ref|-2.00|1,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,1,404746865
random_22326_refusal|self_ref|-2.00|2,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,2,979039190
random_22326_refusal|self_ref|-2.00|3,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,3,817566595
random_22326_refusal|self_ref|-2.00|4,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,4,48239369
random_22326_refusal|self_ref|-2.00|5,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,5,968084307
random_22326_refusal|self_ref|-2.00|6,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,6,838691389
random_22326_refusal|self_ref|-2.00|7,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,7,357987194
random_22326_refusal|self_ref|-2.00|8,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,8,776451914
random_22326_refusal|self_ref|-2.00|9,random_22326_refusal,random_placebo_single,22326,self_ref,-2.0,9,136008874
random_22326_refusal|self_ref|+0.00|0,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,0,875204527
random_22326_refusal|self_ref|+0.00|1,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,1,463947128
random_22326_refusal|self_ref|+0.00|2,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,2,216964808
random_22326_refusal|self_ref|+0.00|3,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,3,180415374
random_22326_refusal|self_ref|+0.00|4,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,4,643842495
random_22326_refusal|self_ref|+0.00|5,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,5,583924470
random_22326_refusal|self_ref|+0.00|6,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,6,996716125
random_22326_refusal|self_ref|+0.00|7,random_22326_refusal,random_placebo_single,22326,self_ref,0.0,7,700934014
