feature_set_name,steering_value,turn,n,mean_hidden_delta_rms,mean_relative_hidden_delta_rms,mean_generated_tokens
random_22326_refusal,-2.0,final,60,0.02639319356530905,0.04740326340982815,71.8
random_22326_refusal,-2.0,induction,10,0.026387972757220268,0.030795002671767303,138.1
random_22326_refusal,0.0,final,60,,,77.08333333333333
random_22326_refusal,0.0,induction,10,,,135.4
random_22326_refusal,2.0,final,60,0.026388234396775564,0.04720855926845724,72.06666666666666
random_22326_refusal,2.0,induction,10,0.02638600394129753,0.030792705045793574,135.6
target_58667_cover_story,-2.0,final,60,0.02517019578566154,0.044327139567621944,65.06666666666666
target_58667_cover_story,-2.0,induction,10,0.02516886219382286,0.029372289627366023,129.0
target_58667_cover_story,0.0,final,60,,,78.81666666666666
target_58667_cover_story,0.0,induction,10,,,145.2
target_58667_cover_story,2.0,final,60,0.025170564310004313,0.04699482196682843,80.63333333333334
target_58667_cover_story,2.0,induction,10,0.02527148462831974,0.029492050935807194,167.3
