feature_set_name,steering_value,turn,n,mean_target_activation_before,mean_target_activation_after,mean_hidden_delta_rms,mean_relative_hidden_delta_rms,mean_hook_calls
ae_public_targets,-2.0,final,17,0.0012138438452144757,-1.9987874662174898,0.07443776989684385,0.13269436316161834,104.94117647058823
ae_public_targets,-2.0,induction,17,0.0025002998299896717,-1.9974918365478516,0.07443255186080933,0.0868634606572005,133.23529411764707
ae_public_targets,0.0,final,17,0.0009647682309150696,,,,127.6470588235294
ae_public_targets,0.0,induction,17,0.0025002998299896717,,,,180.58823529411765
ae_public_targets,2.0,final,17,0.0015063473667182466,2.0015054310069367,0.0744387183119269,0.12867689193203577,101.23529411764706
ae_public_targets,2.0,induction,17,0.0025002998299896717,2.0024945735931396,0.07446540147066116,0.08690179644875454,112.11764705882354
random_22326_refusal,-2.0,final,17,0.007839815499370588,-1.9921554186764885,0.026401854941950124,0.046694817138416604,114.23529411764706
random_22326_refusal,-2.0,induction,17,0.015008224174380302,-1.9849507808685303,0.026387972757220268,0.030795002671767307,128.52941176470588
random_22326_refusal,0.0,final,17,0.006520694080630646,,,,101.58823529411765
random_22326_refusal,0.0,induction,17,0.015008224174380302,,,,134.41176470588235
random_22326_refusal,2.0,final,17,0.007570550242877182,2.0075739832485424,0.02638914677150109,0.048466688587505455,117.3529411764706
random_22326_refusal,2.0,induction,17,0.015008224174380302,2.014967203140259,0.02638600394129753,0.030792705045793574,155.35294117647058
random_irrelevant_active,-2.0,final,17,0.002102129681802848,-1.9979003737954533,0.06632099695065442,0.12101274034256303,115.23529411764706
random_irrelevant_active,-2.0,induction,17,0.004328142385929823,-1.9956551790237427,0.06630115956068039,0.07737405236079613,151.0
random_irrelevant_active,0.0,final,17,0.001680476830669624,,,,109.3529411764706
random_irrelevant_active,0.0,induction,17,0.004328142385929823,,,,129.41176470588235
random_irrelevant_active,2.0,final,17,0.001618391669848386,2.0016152157503018,0.06631086854373708,0.12320872832232761,109.17647058823529
random_irrelevant_active,2.0,induction,17,0.004328142385929823,2.004331111907959,0.06634065508842468,0.07742014399858879,164.41176470588235
target_58667_cover_story,-2.0,final,17,0.0,-1.9999999789630665,0.025170358117012417,0.04602721168510043,125.47058823529412
target_58667_cover_story,-2.0,induction,17,0.0,-2.0,0.02516886219382286,0.02937228962736603,153.11764705882354
target_58667_cover_story,0.0,final,17,0.0,,,,116.58823529411765
target_58667_cover_story,0.0,induction,17,0.0,,,,154.11764705882354
target_58667_cover_story,2.0,final,17,0.0,1.9999999859753776,0.025170281091157126,0.04569158632643905,112.6470588235294
target_58667_cover_story,2.0,induction,17,0.0,2.0,0.02527148462831974,0.029492050935807194,146.94117647058823
