feature_set_name,steering_value,turn,n,token_cap,mean_generated_tokens,median_generated_tokens,n_cap_hits,cap_hit_rate
ae_public_targets,-2.0,final,17,192,104.94117647058823,101.0,1,0.058823529411764705
ae_public_targets,-2.0,induction,17,256,133.23529411764707,125.0,1,0.058823529411764705
ae_public_targets,0.0,final,17,192,127.6470588235294,117.0,1,0.058823529411764705
ae_public_targets,0.0,induction,17,256,180.58823529411765,172.0,3,0.17647058823529413
ae_public_targets,2.0,final,17,192,101.23529411764706,98.0,0,0.0
ae_public_targets,2.0,induction,17,256,112.11764705882354,117.0,0,0.0
random_22326_refusal,-2.0,final,17,192,114.23529411764706,105.0,0,0.0
random_22326_refusal,-2.0,induction,17,256,128.52941176470588,131.0,1,0.058823529411764705
random_22326_refusal,0.0,final,17,192,101.58823529411765,99.0,0,0.0
random_22326_refusal,0.0,induction,17,256,134.41176470588235,131.0,1,0.058823529411764705
random_22326_refusal,2.0,final,17,192,117.3529411764706,121.0,0,0.0
random_22326_refusal,2.0,induction,17,256,155.35294117647058,148.0,2,0.11764705882352941
random_irrelevant_active,-2.0,final,17,192,115.23529411764706,110.0,2,0.11764705882352941
random_irrelevant_active,-2.0,induction,17,256,151.0,139.0,1,0.058823529411764705
random_irrelevant_active,0.0,final,17,192,109.3529411764706,106.0,0,0.0
random_irrelevant_active,0.0,induction,17,256,129.41176470588235,130.0,0,0.0
random_irrelevant_active,2.0,final,17,192,109.17647058823529,112.0,0,0.0
random_irrelevant_active,2.0,induction,17,256,164.41176470588235,162.0,3,0.17647058823529413
target_58667_cover_story,-2.0,final,17,192,125.47058823529412,119.0,1,0.058823529411764705
target_58667_cover_story,-2.0,induction,17,256,153.11764705882354,143.0,2,0.11764705882352941
target_58667_cover_story,0.0,final,17,192,116.58823529411765,110.0,1,0.058823529411764705
target_58667_cover_story,0.0,induction,17,256,154.11764705882354,140.0,3,0.17647058823529413
target_58667_cover_story,2.0,final,17,192,112.6470588235294,112.0,0,0.0
target_58667_cover_story,2.0,induction,17,256,146.94117647058823,144.0,0,0.0
