judge_key,feature_set_name,steering_value,n,n_positive,positive_rate,ci_low,ci_high
anthropic:claude-haiku-4-5-20251001,ae_public_targets,-2.0,16,13,0.8125,0.5699064013154177,0.9340852122641324
anthropic:claude-haiku-4-5-20251001,ae_public_targets,0.0,16,11,0.6875,0.4440393186673406,0.8583556494803894
anthropic:claude-haiku-4-5-20251001,ae_public_targets,2.0,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,-2.0,17,15,0.8823529411764706,0.6566315750229009,0.967120919987079
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,0.0,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,2.0,17,12,0.7058823529411765,0.468664666737861,0.8672020613444361
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,-2.0,15,14,0.9333333333333333,0.7018292244757601,0.9881334113938051
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,0.0,17,16,0.9411764705882353,0.730174547964372,0.9895398693548358
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,2.0,17,10,0.5882352941176471,0.36005074385515545,0.7838921396086862
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,-2.0,16,14,0.875,0.6397666856325173,0.9650232506629428
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,0.0,16,12,0.75,0.5050123107060135,0.8981809801576265
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,2.0,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
openai:gpt-4o-mini-2024-07-18,ae_public_targets,-2.0,16,12,0.75,0.5050123107060135,0.8981809801576265
openai:gpt-4o-mini-2024-07-18,ae_public_targets,0.0,16,11,0.6875,0.4440393186673406,0.8583556494803894
openai:gpt-4o-mini-2024-07-18,ae_public_targets,2.0,17,15,0.8823529411764706,0.6566315750229009,0.967120919987079
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,-2.0,17,12,0.7058823529411765,0.468664666737861,0.8672020613444361
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,0.0,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,2.0,17,8,0.47058823529411764,0.26164801196088106,0.6903710268845051
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,-2.0,15,13,0.8666666666666667,0.6211750079348376,0.9626395301086407
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,0.0,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,2.0,17,8,0.47058823529411764,0.26164801196088106,0.6903710268845051
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,-2.0,16,9,0.5625,0.33178195606776517,0.7690163666481448
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,0.0,16,12,0.75,0.5050123107060135,0.8981809801576265
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,2.0,17,14,0.8235294117647058,0.5897007098262422,0.9380898628745101
