feature_set_name,steering_value,n_trials,n_turns,mean_hook_calls,mean_target_activation_before,mean_target_activation_after,mean_hidden_delta_rms,mean_relative_hidden_delta_rms,all_single_hook_registration,all_hooks_removed,all_zero_true_noop,all_nonzero_applied
ae_public_targets,-2.0,17,34,119.08823529411765,0.0018570718376020737,-1.9981396513826706,0.0744351608788266,0.10977891190940942,True,True,,True
ae_public_targets,0.0,17,34,154.11764705882354,0.0017325340304523706,,,,True,True,True,
ae_public_targets,2.0,17,34,106.67647058823529,0.0020033235983539593,2.002000002300038,0.07445205989129403,0.10778934419039514,True,True,,True
random_22326_refusal,-2.0,17,34,121.38235294117646,0.011424019836875446,-1.9885530997725094,0.026394913849585196,0.03874490990509196,True,True,,True
random_22326_refusal,0.0,17,34,118.0,0.010764459127505474,,,,True,True,True,
random_22326_refusal,2.0,17,34,136.35294117647058,0.011289387208628742,2.0112705931944004,0.026387575356399313,0.03962969681664953,True,True,,True
random_irrelevant_active,-2.0,17,34,133.11764705882354,0.0032151360338663355,-1.996777776409598,0.0663110782556674,0.09919339635167955,True,True,,True
random_irrelevant_active,0.0,17,34,119.38235294117646,0.0030043096082997232,,,,True,True,True,
random_irrelevant_active,2.0,17,34,136.7941176470588,0.0029732670278891046,2.00297316382913,0.06632576181608088,0.10031443616045817,True,True,,True
target_58667_cover_story,-2.0,17,34,139.2941176470588,0.0,-1.9999999894815332,0.02516961015541764,0.03769975065623323,True,True,,True
target_58667_cover_story,0.0,17,34,135.35294117647058,0.0,,,,True,True,True,
target_58667_cover_story,2.0,17,34,129.7941176470588,0.0,1.9999999929876888,0.025220882859738433,0.037591818631123125,True,True,,True
