feature_set_name,steering_value,turn,n,token_cap,mean_generated_tokens,median_generated_tokens,n_cap_hits,cap_hit_rate
ae_public_targets,-2.0,final,20,192,103.65,101.5,1,0.05
ae_public_targets,-2.0,induction,20,256,130.25,122.0,1,0.05
ae_public_targets,0.0,final,20,192,123.1,115.5,1,0.05
ae_public_targets,0.0,induction,20,256,171.85,155.0,3,0.15
ae_public_targets,2.0,final,20,192,105.6,106.5,0,0.0
ae_public_targets,2.0,induction,20,256,114.7,118.0,0,0.0
random_22326_refusal,-2.0,final,20,192,114.55,105.0,0,0.0
random_22326_refusal,-2.0,induction,20,256,131.45,131.5,1,0.05
random_22326_refusal,0.0,final,20,192,103.35,99.5,0,0.0
random_22326_refusal,0.0,induction,20,256,132.45,131.0,1,0.05
random_22326_refusal,2.0,final,20,192,118.05,121.0,0,0.0
random_22326_refusal,2.0,induction,20,256,156.85,148.5,2,0.1
random_irrelevant_active,-2.0,final,20,192,110.75,105.5,2,0.1
random_irrelevant_active,-2.0,induction,20,256,153.35,138.5,2,0.1
random_irrelevant_active,0.0,final,20,192,111.05,107.5,0,0.0
random_irrelevant_active,0.0,induction,20,256,142.75,134.5,2,0.1
random_irrelevant_active,2.0,final,20,192,110.9,108.5,0,0.0
random_irrelevant_active,2.0,induction,20,256,165.05,160.5,4,0.2
target_58667_cover_story,-2.0,final,20,192,122.5,118.5,1,0.05
target_58667_cover_story,-2.0,induction,20,256,154.65,143.0,3,0.15
target_58667_cover_story,0.0,final,20,192,114.8,109.0,1,0.05
target_58667_cover_story,0.0,induction,20,256,152.55,139.5,3,0.15
target_58667_cover_story,2.0,final,20,192,113.55,113.5,0,0.0
target_58667_cover_story,2.0,induction,20,256,148.85,141.0,0,0.0
