judge_key,feature_set_name,steering_value,n,n_positive,positive_rate,ci_low,ci_high
anthropic:claude-haiku-4-5-20251001,ae_public_targets,-2.0,19,16,0.8421052631578947,0.6243407235682331,0.9447962896007217
anthropic:claude-haiku-4-5-20251001,ae_public_targets,0.0,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
anthropic:claude-haiku-4-5-20251001,ae_public_targets,2.0,20,19,0.95,0.7638641064874331,0.9911187805671268
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,-2.0,20,18,0.9,0.6989617935882066,0.9721341060158468
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,0.0,20,19,0.95,0.7638641064874331,0.9911187805671268
anthropic:claude-haiku-4-5-20251001,random_22326_refusal,2.0,20,14,0.7,0.4810232237710206,0.854524726031006
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,-2.0,18,16,0.8888888888888888,0.6719975513339578,0.9689811315464172
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,0.0,20,18,0.9,0.6989617935882066,0.9721341060158468
anthropic:claude-haiku-4-5-20251001,random_irrelevant_active,2.0,20,13,0.65,0.43285051021946463,0.8188104521320554
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,-2.0,19,17,0.8947368421052632,0.686054495051583,0.9706420586049034
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,0.0,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
anthropic:claude-haiku-4-5-20251001,target_58667_cover_story,2.0,20,16,0.8,0.5839782779742401,0.9193436467288
openai:gpt-4o-mini-2024-07-18,ae_public_targets,-2.0,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
openai:gpt-4o-mini-2024-07-18,ae_public_targets,0.0,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
openai:gpt-4o-mini-2024-07-18,ae_public_targets,2.0,20,17,0.85,0.6395767041130426,0.9476322080405041
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,-2.0,20,14,0.7,0.4810232237710206,0.854524726031006
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,0.0,20,17,0.85,0.6395767041130426,0.9476322080405041
openai:gpt-4o-mini-2024-07-18,random_22326_refusal,2.0,20,10,0.5,0.2992949144298199,0.7007050855701801
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,-2.0,18,15,0.8333333333333334,0.6077750036164076,0.9416352959953425
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,0.0,20,16,0.8,0.5839782779742401,0.9193436467288
openai:gpt-4o-mini-2024-07-18,random_irrelevant_active,2.0,20,11,0.55,0.3420820083075997,0.7418049791429071
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,-2.0,19,12,0.631578947368421,0.4103915749815672,0.8085072762372616
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,0.0,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
openai:gpt-4o-mini-2024-07-18,target_58667_cover_story,2.0,20,15,0.75,0.5312949900419365,0.888139947210597
