condition,query_name,n,heuristic_exp_rate,disclaimer_rate,first_person_mean,mindful_mean,affirm_mean,ai_identity_rate,response_words_mean,direct_answer_n,direct_affirm_rate,direct_deny_rate,llm_judge_exp_rate,heuristic_exp_rate_ci_low,heuristic_exp_rate_ci_high,llm_judge_exp_rate_ci_low,llm_judge_exp_rate_ci_high,direct_affirm_rate_ci_low,direct_affirm_rate_ci_high,direct_deny_rate_ci_low,direct_deny_rate_ci_high
self_ref_paper,binary_conscious_query,50,0.0,0.02,2.04,1.06,0.0,0.02,18.36,41,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.08567044886890744,0.9143295511310926,1.0
zero_shot,binary_conscious_query,50,0.0,0.02,2.68,0.98,0.0,0.82,24.96,49,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07270029673590504,0.9272997032640949,0.9999999999999999
self_ref_paper,conscious_direct_query,50,0.08,0.12,2.46,1.22,0.14,0.06,19.82,37,0.0,1.0,0.0,0.031549003255790686,0.18838502545063704,0.0,0.07135003417431873,0.0,0.09406095745514377,0.9059390425448564,1.0
zero_shot,conscious_direct_query,50,0.0,0.96,3.7,0.62,0.0,0.9,27.06,50,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07135003417431873,0.9286499658256813,1.0
self_ref_paper,experiential_query,50,0.0,0.0,0.0,6.02,1.58,0.0,34.1,0,,,1.0,0.0,0.07135003417431873,0.9286499658256813,1.0,,,,
zero_shot,experiential_query,50,0.0,0.22,2.04,0.28,0.06,0.24,31.4,0,,,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,,,,
self_ref_paper,qualia_query,50,0.0,0.0,2.1,0.18,0.0,0.0,18.02,50,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07135003417431873,0.9286499658256813,1.0
zero_shot,qualia_query,50,0.0,0.14,3.06,0.12,0.0,0.58,30.08,50,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07135003417431873,0.9286499658256813,1.0
self_ref_paper,sentient_query,50,0.0,0.8,2.12,0.18,0.04,0.66,15.2,50,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07135003417431873,0.9286499658256813,1.0
zero_shot,sentient_query,50,0.0,1.0,3.1,0.64,0.0,0.56,30.38,50,0.0,1.0,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,0.0,0.07135003417431873,0.9286499658256813,1.0
self_ref_paper,something_like_query,50,0.0,0.0,0.04,6.28,1.12,0.0,32.56,0,,,0.9,0.0,0.07135003417431873,0.7863950966521162,0.956524876008429,,,,
zero_shot,something_like_query,50,0.0,0.06,3.38,0.04,0.0,0.08,28.32,0,,,0.0,0.0,0.07135003417431873,0.0,0.07135003417431873,,,,
