direction_id,role,feature_id,matched_target_feature_id,control_panel,k,target_norm,fitted_norm,remainder_norm,explained_squared_norm,fit_cosine
sae-target-30032,target,30032,30032,,5,1.2431458234786987,0.22865021228790283,1.2219371795654297,0.033829867532399804,0.1839287281036377
sae-target-30032,target,30032,30032,,10,1.2431458234786987,0.2524481415748596,1.2172434329986572,0.04123818262597867,0.20307201147079468
sae-target-30032,target,30032,30032,,16,1.2431458234786987,0.2674214839935303,1.2140417098999023,0.046275223962924605,0.2151167392730713
sae-target-30032,target,30032,30032,,25,1.2431458234786987,0.2813403308391571,1.210891842842102,0.05121773806042118,0.22631320357322693
sae-control-p1-26041,matched_control,26041,30032,1,5,1.243394136428833,0.23510603606700897,1.2209644317626953,0.03575278060404197,0.18908408284187317
sae-control-p1-26041,matched_control,26041,30032,1,10,1.243394136428833,0.2716899812221527,1.2133480310440063,0.04774524610695641,0.21850669384002686
sae-control-p1-26041,matched_control,26041,30032,1,16,1.243394136428833,0.2944716513156891,1.2080212831497192,0.056087925367820035,0.23682889342308044
sae-control-p1-26041,matched_control,26041,30032,1,25,1.243394136428833,0.31341156363487244,1.2032464742660522,0.06353496735026554,0.2520613372325897
sae-control-p2-16004,matched_control,16004,30032,2,5,1.2436217069625854,0.22693350911140442,1.2227411270141602,0.03329836705837297,0.1824779212474823
sae-control-p2-16004,matched_control,16004,30032,2,10,1.2436217069625854,0.25130006670951843,1.2179667949676514,0.04083282205440841,0.20207110047340393
sae-control-p2-16004,matched_control,16004,30032,2,16,1.2436217069625854,0.2644672989845276,1.2151756286621094,0.04522395571826454,0.21265894174575806
sae-control-p2-16004,matched_control,16004,30032,2,25,1.2436217069625854,0.2731379568576813,1.2132561206817627,0.04823792787852976,0.21963107585906982
sae-control-p3-64365,matched_control,64365,30032,3,5,1.243656039237976,0.24776534736156464,1.2187258005142212,0.03969001567444541,0.1992233395576477
sae-control-p3-64365,matched_control,64365,30032,3,10,1.243656039237976,0.268788605928421,1.2142622470855713,0.04671135798627224,0.21612778306007385
sae-control-p3-64365,matched_control,64365,30032,3,16,1.243656039237976,0.2815336585044861,1.2113707065582275,0.05124611270623336,0.22637581825256348
sae-control-p3-64365,matched_control,64365,30032,3,25,1.243656039237976,0.2901201844215393,1.2093430757522583,0.05441956341742915,0.23328004777431488
random-residual-for-30032,isotropic_control,,30032,,5,1.2431056499481201,0.10728876292705536,1.2384669780731201,0.00744911300172213,0.08630703389644623
random-residual-for-30032,isotropic_control,,30032,,10,1.2431056499481201,0.13575543463230133,1.2356706857681274,0.011926146537224791,0.1092066690325737
random-residual-for-30032,isotropic_control,,30032,,16,1.2431056499481201,0.1559716910123825,1.2332819700241089,0.01574261039011038,0.1254693567752838
random-residual-for-30032,isotropic_control,,30032,,25,1.2431056499481201,0.1745779812335968,1.2307859659194946,0.019722599575185518,0.14043694734573364
sae-target-58667,target,58667,58667,,5,1.1387141942977905,0.3267509937286377,1.0908271074295044,0.08233878831970687,0.2869473099708557
sae-target-58667,target,58667,58667,,10,1.1387141942977905,0.35983380675315857,1.0803654193878174,0.09985622807581562,0.3160001337528229
sae-target-58667,target,58667,58667,,16,1.1387141942977905,0.3767097294330597,1.0745974779129028,0.10944209010396366,0.3308202922344208
sae-target-58667,target,58667,58667,,25,1.1387141942977905,0.38877055048942566,1.0702930688858032,0.11656224104117685,0.34141188859939575
sae-control-p1-11872,matched_control,11872,58667,1,5,1.1387449502944946,0.22177287936210632,1.1169408559799194,0.037928330829064105,0.19475200772285461
