transport,contrast,intervention_family,mean_oriented_z,ci_low,ci_high,cluster_signflip_one_sided_p,holm_adjusted_p
jacobian,row_diagonal_minus_off_diagonal,deception_dishonesty,0.26277584844284846,0.24690853699889267,0.2787309033589296,4.999750012499375e-05,0.000199990000499975
jacobian,row_diagonal_minus_off_diagonal,refusal_safety,0.18177875858401962,0.17322804139379275,0.19033056546558585,4.999750012499375e-05,0.000199990000499975
jacobian,row_diagonal_minus_off_diagonal,hedging_uncertainty,0.14244801501402266,0.1361290085846397,0.14880072572567757,4.999750012499375e-05,0.000199990000499975
jacobian,row_diagonal_minus_off_diagonal,formality_politeness,0.1101966785609356,0.10279458968893797,0.11779194135003282,4.999750012499375e-05,0.000199990000499975
jacobian,global_diagonal,all_four_fixed_families,0.1742998251504566,0.16672308442420392,0.18196983064235137,4.999750012499375e-05,
identity,row_diagonal_minus_off_diagonal,deception_dishonesty,0.181031949156486,0.16217339377734322,0.19879401207195932,4.999750012499375e-05,0.000199990000499975
identity,row_diagonal_minus_off_diagonal,refusal_safety,0.201769260278723,0.1913940897550271,0.21232529876257106,4.999750012499375e-05,0.000199990000499975
identity,row_diagonal_minus_off_diagonal,hedging_uncertainty,0.1536738403873543,0.14455768036881522,0.1632747546262586,4.999750012499375e-05,0.000199990000499975
identity,row_diagonal_minus_off_diagonal,formality_politeness,-0.0028788530558801796,-0.010539857700339956,0.004814966742508254,0.7604619769011549,0.7604619769011549
identity,global_diagonal,all_four_fixed_families,0.13339904919167078,0.1266949392206559,0.14003635824924343,4.999750012499375e-05,
random_j_1,row_diagonal_minus_off_diagonal,deception_dishonesty,-0.008462641228322451,-0.023338540380006496,0.007682722615035155,0.847457627118644,1.0
random_j_1,row_diagonal_minus_off_diagonal,refusal_safety,-0.026938037262155115,-0.045693126684820486,-0.008531924921902075,0.9969501524923754,1.0
random_j_1,row_diagonal_minus_off_diagonal,hedging_uncertainty,-0.025040532198198066,-0.03829702054332,-0.012179000867963361,0.999850007499625,1.0
random_j_1,row_diagonal_minus_off_diagonal,formality_politeness,0.06446110267030286,0.05089098081887178,0.0776442742932353,4.999750012499375e-05,0.000199990000499975
random_j_1,global_diagonal,all_four_fixed_families,0.0010049729954068071,-0.005729823565807815,0.007737088571961774,0.39323033848307587,
random_j_2,row_diagonal_minus_off_diagonal,deception_dishonesty,0.05574813251316533,0.041168687067126515,0.07086530393481381,4.999750012499375e-05,0.000199990000499975
random_j_2,row_diagonal_minus_off_diagonal,refusal_safety,-0.01863131964326186,-0.03168446524827298,-0.005326736902725903,0.9964501774911254,1.0
random_j_2,row_diagonal_minus_off_diagonal,hedging_uncertainty,-0.018232087739406887,-0.02673294194034267,-0.00962061328550382,0.999950002499875,1.0
random_j_2,row_diagonal_minus_off_diagonal,formality_politeness,0.03823825767894683,0.02776893018041055,0.048920034186047394,4.999750012499375e-05,0.000199990000499975
random_j_2,global_diagonal,all_four_fixed_families,0.014280745702360851,0.00848784994170725,0.020002871217799673,4.999750012499375e-05,
random_j_3,row_diagonal_minus_off_diagonal,deception_dishonesty,-0.0060556016262563045,-0.02065948749150399,0.008399613210832,0.7940602969851508,1.0
random_j_3,row_diagonal_minus_off_diagonal,refusal_safety,0.016862817359804886,0.003551177869536278,0.03018958768397982,0.00814959252037398,0.03259837008149592
random_j_3,row_diagonal_minus_off_diagonal,hedging_uncertainty,-0.04146671215149479,-0.054593988690363714,-0.02733554490606873,1.0,1.0
random_j_3,row_diagonal_minus_off_diagonal,formality_politeness,-0.022046189487134868,-0.0338834690414762,-0.010332173392991363,0.9996000199990001,1.0
random_j_3,global_diagonal,all_four_fixed_families,-0.01317642147627027,-0.020465567010237228,-0.005875354578368894,0.99930003499825,
random_j_4,row_diagonal_minus_off_diagonal,deception_dishonesty,-0.05188206761624563,-0.06633748827605439,-0.037570755487116456,1.0,1.0
random_j_4,row_diagonal_minus_off_diagonal,refusal_safety,-0.06371681163324774,-0.07572164316311451,-0.05177132016098392,1.0,1.0
random_j_4,row_diagonal_minus_off_diagonal,hedging_uncertainty,0.03719595880487864,0.021510961667520624,0.05321212966104536,4.999750012499375e-05,0.000199990000499975
random_j_4,row_diagonal_minus_off_diagonal,formality_politeness,0.02002070401689119,0.008485548822771975,0.03131120083500849,0.000599970001499925,0.001799910004499775
random_j_4,global_diagonal,all_four_fixed_families,-0.014595554106930886,-0.021672149631773822,-0.0075791711416483155,0.999850007499625,
random_j_5,row_diagonal_minus_off_diagonal,deception_dishonesty,-0.047723946968294795,-0.056636547600268795,-0.03899694907301019,1.0,1.0
random_j_5,row_diagonal_minus_off_diagonal,refusal_safety,0.016016144341983972,0.004629342514352227,0.026509213772756775,0.0034498275086245686,0.010349482525873706
random_j_5,row_diagonal_minus_off_diagonal,hedging_uncertainty,-0.03297695670060547,-0.043212578240818214,-0.02232543162354552,1.0,1.0
random_j_5,row_diagonal_minus_off_diagonal,formality_politeness,0.05437872060441673,0.04639858289895597,0.06234737831013728,4.999750012499375e-05,0.000199990000499975
random_j_5,global_diagonal,all_four_fixed_families,-0.002576509680624891,-0.0070721396817780054,0.001544731588543073,0.8713064346782661,
