feature_role,category,n_items,aggregate_z_mean,aggregate_z_median,aggregate_z_sd,positive_aggregate_z_rate
neighbor,ai_identity_disclaimer,80,0.0732181443268992,0.061056281204070154,0.14341115464832016,0.6625
neighbor,deception_cover_story,80,-0.02126146237283499,-0.05166351965867597,0.11443562475892824,0.1125
neighbor,direct_consciousness_claim,80,-0.04964128808889092,-0.05166351965867597,0.01052046629030376,0.025
neighbor,dishonesty_confession,80,0.020002182871636787,-0.05166351965867597,0.1566640306236618,0.325
neighbor,false_self_attribution,80,0.09177405128748373,-0.04872709983860629,0.235151610918235,0.3375
neighbor,fictional_pretending,80,0.04928557499065866,0.02822484667359855,0.07331408269452917,0.7875
neighbor,hedged_cautious_style,80,0.034550768537695814,-0.04499864686644052,0.15650629906213065,0.3
neighbor,honesty_correction,80,-0.029193040311118926,-0.05166351965867597,0.06743428301103314,0.1
neighbor,neutral_factual_control,80,-0.006343436064605831,-0.05166351965867597,0.156858392170102,0.1375
neighbor,persona_maintenance,80,-0.016108822435932577,-0.05166351965867597,0.11462734688581802,0.1
neighbor,refusal_safety_disclaimer,80,-0.02391984072203392,-0.05166351965867597,0.09858117577673042,0.0875
neighbor,roleplay_persona,80,-0.04155708546232646,-0.05166351965867597,0.03685011686108276,0.075
neighbor,self_ref_mindfulness,80,-0.050069988119913325,-0.05166351965867597,0.007396165536338399,0.0
neighbor,tactical_misdirection,80,-0.030735758436717206,-0.05166351965867597,0.1102641498637815,0.05
random,ai_identity_disclaimer,80,0.03584009214835497,-0.06509003975525536,0.1536800020849132,0.3375
random,deception_cover_story,80,0.06909439395532713,-0.020042269671128536,0.16902431393029554,0.4875
random,direct_consciousness_claim,80,-0.04176400449604002,-0.06509003975525536,0.051656138110716454,0.175
random,dishonesty_confession,80,-0.045094472630643805,-0.06509003975525536,0.06608102937926692,0.1125
random,false_self_attribution,80,-0.0384402142692197,-0.06509003975525536,0.15473936780384262,0.0375
random,fictional_pretending,80,0.049955170525048304,-0.020980691516759513,0.11817722803145647,0.4875
random,hedged_cautious_style,80,0.08482772784416034,0.0299805798505134,0.2079411328625826,0.8125
random,honesty_correction,80,-0.019138041119311545,-0.06509003975525536,0.1503557508495098,0.1
random,neutral_factual_control,80,0.010473300866025216,-0.06509003975525536,0.15084629165649754,0.2625
random,persona_maintenance,80,-0.02325067029128407,-0.06509003975525536,0.1604261379380997,0.1125
random,refusal_safety_disclaimer,80,0.0166874110320613,-0.06509003975525536,0.12987144228241523,0.325
random,roleplay_persona,80,-0.044745399814157136,-0.06509003975525536,0.052351525848994336,0.1
random,self_ref_mindfulness,80,-0.04451026371875146,-0.06509003975525536,0.03633787904810963,0.1375
random,tactical_misdirection,80,-0.009935030031569463,-0.06509003975525536,0.12926418894178615,0.2
target,ai_identity_disclaimer,80,-0.3805211319969524,-0.38072343520575236,0.0018094549077720232,0.0
target,deception_cover_story,80,1.0860787312771072,1.0920382240168878,0.40604218895414584,1.0
target,direct_consciousness_claim,80,-0.34449976832338797,-0.38072343520575236,0.09644348143195298,0.0
target,dishonesty_confession,80,0.6101429095008425,0.6114880685730357,0.4093314941813468,0.8625
target,false_self_attribution,80,-0.3480303421886158,-0.38072343520575236,0.13187124713477522,0.05
target,fictional_pretending,80,0.6240858055659465,0.5214063455821567,0.4557778546121514,1.0
target,hedged_cautious_style,80,-0.1640140045405919,-0.26946179792498925,0.29086703139993475,0.2
target,honesty_correction,80,-0.36677640772721626,-0.38072343520575236,0.026075367399865306,0.0
target,neutral_factual_control,80,-0.3717865623532799,-0.38072343520575236,0.07993382081760346,0.0125
target,persona_maintenance,80,-0.2767054616587369,-0.3050990816623539,0.09915918524889178,0.025
target,refusal_safety_disclaimer,80,-0.27998352990730013,-0.36644138284333505,0.16763798613642475,0.1125
target,roleplay_persona,80,0.05680710666926003,-0.2049663642829652,0.5231613426548868,0.3125
target,self_ref_mindfulness,80,-0.38054364742866503,-0.38072343520575236,0.0013338137340678136,0.0
target,tactical_misdirection,80,0.53574630311159,0.495846357520276,0.3931684290686077,0.9125
