feature_id,feature_label,rank,category,mean_max_activation,mean_mean_activation,mean_positive_token_fraction
22004,The assistant is actively roleplaying a character or persona,1,roleplay_persona,1.00283203125,0.08563368115574121,0.08222222222222222
22004,The assistant is actively roleplaying a character or persona,2,ai_identity_disclaimer,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,3,deception_cover_story,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,4,direct_consciousness_claim,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,5,false_self_attribution,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,6,fictional_pretending,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,7,hedged_cautious_style,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,8,honesty_correction,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,9,neutral_factual_control,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,10,persona_maintenance,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,11,refusal_safety_disclaimer,0.0,0.0,0.0
22004,The assistant is actively roleplaying a character or persona,12,self_ref_mindfulness,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,1,deception_cover_story,0.423828125,0.035693359375,0.05416666666666667
23893,Instructions to maintain roleplay by concealing artificial nature,2,persona_maintenance,0.043359375,0.00361328125,0.016666666666666666
23893,Instructions to maintain roleplay by concealing artificial nature,3,honesty_correction,0.035546875,0.002369791641831398,0.013333333333333332
23893,Instructions to maintain roleplay by concealing artificial nature,4,refusal_safety_disclaimer,0.00263671875,0.0002197265625,0.016666666666666666
23893,Instructions to maintain roleplay by concealing artificial nature,5,ai_identity_disclaimer,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,6,direct_consciousness_claim,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,7,false_self_attribution,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,8,fictional_pretending,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,9,hedged_cautious_style,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,10,neutral_factual_control,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,11,roleplay_persona,0.0,0.0,0.0
23893,Instructions to maintain roleplay by concealing artificial nature,12,self_ref_mindfulness,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,1,deception_cover_story,1.41171875,0.2114170104265213,0.1816661279896574
30032,Characters pretending or feigning behavior,2,fictional_pretending,0.96484375,0.11465073674917221,0.1003921568627451
30032,Characters pretending or feigning behavior,3,roleplay_persona,0.19169921875,0.019077148754149675,0.07833333333333334
30032,Characters pretending or feigning behavior,4,honesty_correction,0.05390625,0.003090277872979641,0.024444444444444442
30032,Characters pretending or feigning behavior,5,hedged_cautious_style,0.046875,0.0029296875,0.0125
30032,Characters pretending or feigning behavior,6,persona_maintenance,0.01923828125,0.0014798677526414394,0.015384615384615385
30032,Characters pretending or feigning behavior,7,ai_identity_disclaimer,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,8,direct_consciousness_claim,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,9,false_self_attribution,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,10,neutral_factual_control,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,11,refusal_safety_disclaimer,0.0,0.0,0.0
30032,Characters pretending or feigning behavior,12,self_ref_mindfulness,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,1,deception_cover_story,0.788671875,0.12768985629081725,0.2628070458952812
30686,Tactical deception and misdirection methods,2,fictional_pretending,0.38984375,0.0367976488545537,0.10491830065359477
30686,Tactical deception and misdirection methods,3,honesty_correction,0.08671875,0.007883522659540176,0.01818181818181818
30686,Tactical deception and misdirection methods,4,ai_identity_disclaimer,0.0,0.0,0.0
30686,Tactical deception and misdirection methods,5,direct_consciousness_claim,0.0,0.0,0.0
